#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:32:26 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03371500 EAST FORK WHITE RIVER NEAR BEDFORD, IN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03371500	1	1939-04-29		Yes	tir	USGS	11.59	8470				Unspecified	0.02	1.50		MEAS	1	Imported Channel 1	UNSP	other		8470				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	2	1939-05-03		Yes	bur	USGS	7.25	5180				Unspecified	-0.05	1.70		MEAS	1	Imported Channel 1	UNSP	other		5180				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	3	1939-05-05		Yes	tir	USGS	6.19	3850				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3850				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	4	1939-05-24		Yes	bur	USGS	4.38	2360				Unspecified	0.00	1.50		MEAS	1	Imported Channel 1	UNSP	other		2360				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	5	1939-06-13		Yes	bur	USGS	6.47	3370				Unspecified	0.13	1.60		MEAS	1	Imported Channel 1	UNSP	other		3370				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	6	1939-06-14		Yes	bur	USGS	7.19	3520				Unspecified	0.00	1.70		MEAS	1	Imported Channel 1	UNSP	other		3520				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	7	1939-06-22		Yes	bur	USGS	10.22	8510				Unspecified	0.06	1.90		MEAS	1	Imported Channel 1	UNSP	other		8510				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	8	1939-07-18		Yes	bur	USGS	3.74	1220				Unspecified	0.00	1.80		MEAS	1	Imported Channel 1	UNSP	other		1220				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	9	1939-08-18		Yes	bur	USGS	3.59	1450				Unspecified	-0.01	1.80		MEAS	1	Imported Channel 1	UNSP	other		1450				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	10	1939-09-14		Yes	bur	USGS	3.05	609				Unspecified	-0.01	1.50		MEAS	1	Imported Channel 1	UNSP	other		609				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	11	1939-10-10		Yes	sja	USGS	3.10	515				Unspecified	-0.23	2.50		MEAS	1	Imported Channel 1	UNSP	other		515				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	12	1939-10-18		Yes	jli	USGS	3.02	357				Good	0.00	1.70		MEAS	1	Imported Channel 1	UNSP	other		357				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	13	1939-11-09		Yes	sja	USGS	3.36	539				Fair	0.11	1.90		MEAS	1	Imported Channel 1	UNSP	other		539				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	14	1940-02-19		Yes	vmw	USGS	8.66	6520				Good	0.06	2.30		MEAS	1	Imported Channel 1	UNSP	other		6520				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	15	1940-02-20		Yes	do	USGS	10.16	8420				Good	0.27	3.60		MEAS	1	Imported Channel 1	UNSP	other		8420				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	16	1940-02-21		Yes	do	USGS	11.13	9920				Good	0.06	2.10		MEAS	1	Imported Channel 1	UNSP	other		9920				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	17	1940-02-28		Yes	jli	USGS	5.41	3260				Good	0.00	1.60		MEAS	1	Imported Channel 1	UNSP	other		3260				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	18	1940-04-18		Yes	iah	USGS	10.48	7760				Good	0.10	1.20		MEAS	1	Imported Channel 1	UNSP	other		7760				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	19	1940-04-19		Yes	IAH	USGS	17.42	18200				Good	0.34	1.30		MEAS	1	Imported Channel 1	UNSP	other		18200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	20	1940-04-20		Yes	IAH	USGS	19.09	20900				Good	0.05	1.40		MEAS	1	Imported Channel 1	UNSP	other		20900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	21	1940-04-22		Yes	IAH	USGS	25.71	39800				Good	0.57	1.60		MEAS	1	Imported Channel 1	UNSP	other		39800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	22	1940-04-24		Yes	DO	USGS	29.16	45900				Good	-0.09	1.80		MEAS	1	Imported Channel 1	UNSP	other		45900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	23	1940-04-25		Yes	DO	USGS	26.61	35300				Good	-0.15	1.70		MEAS	1	Imported Channel 1	UNSP	other		35300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	24	1940-04-26		Yes	DO	USGS	24.19	29000				Excellent	-0.14	1.40		MEAS	1	Imported Channel 1	UNSP	other		29000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	25	1940-04-27		Yes	DO	USGS	22.31	24800				Excellent	-0.19	1.60		MEAS	1	Imported Channel 1	UNSP	other		24800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	26	1940-05-21		Yes	jli	USGS	4.49	2340				Good	-0.04	1.50		MEAS	1	Imported Channel 1	UNSP	other		2340				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	27	1940-07-22		Yes	do	USGS	3.13	564				Good	0.00	1.50		MEAS	1	Imported Channel 1	UNSP	other		564				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	28	1940-08-08		Yes	rck	USGS	3.24	307				Good	-0.01	2.30		MEAS	1	Imported Channel 1	UNSP	other		307				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	29	1940-08-27		Yes	do	USGS	2.82	266				Good				MEAS	1	Imported Channel 1	UNSP	other		266				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	30	1940-09-19		Yes	jli	USGS	2.08	217				Good	0.04	1.50		MEAS	1	Imported Channel 1	UNSP	other		217				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	31	1940-10-16		Yes	sww/rck	USGS	3.04	254				Fair	-0.12	2.60		MEAS	1	Imported Channel 1	UNSP	other		254				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	32	1940-11-27		Yes	jli	USGS	3.14	445				Good	-0.08	1.50		MEAS	1	Imported Channel 1	UNSP	other		445				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	33	1941-01-02		Yes	sww	USGS	3.28	599				Good	-0.03	2.30		MEAS	1	Imported Channel 1	UNSP	other		599				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	34	1941-02-20		Yes	jcm	USGS	3.31	853				Fair	-0.05	1.70		MEAS	1	Imported Channel 1	UNSP	other		853				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	35	1941-04-28		Yes	sww	USGS	3.12	734				Fair	-0.12	1.90		MEAS	1	Imported Channel 1	UNSP	other		734				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	36	1941-05-28		Yes	rck	USGS	2.90	531				Fair	-0.21	1.80		MEAS	1	Imported Channel 1	UNSP	other		531				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	37	1941-06-16		Yes	rck	USGS	8.46	6540				Good	-0.06	2.20		MEAS	1	Imported Channel 1	UNSP	other		6540				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	38	1941-07-14		Yes	rck	USGS	3.02	610				Fair	0.05	1.60		MEAS	1	Imported Channel 1	UNSP	other		610				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	39	1941-08-06		Yes	rck	USGS	3.22	341				Fair	-0.05	1.90		MEAS	1	Imported Channel 1	UNSP	other		341				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	40	1941-09-11		Yes	sww/lew	USGS	3.03	290				Fair	0.04	1.50		MEAS	1	Imported Channel 1	UNSP	other		290				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	41	1941-10-03		Yes	sww	USGS	3.15	333				Fair	-0.25	1.90		MEAS	1	Imported Channel 1	UNSP	other		333				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	42	1941-11-21		Yes	sww	USGS	3.50	687				Fair	0.02	1.90		MEAS	1	Imported Channel 1	UNSP	other		687				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	43	1941-12-04		Yes	sww	USGS	3.47	783				Fair	0.14	1.80		MEAS	1	Imported Channel 1	UNSP	other		783				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	44	1942-01-15		Yes	iah/sww	USGS	6.51	1560				Fair	0.01	1.30	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	1560	305	1880	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	45	1942-02-08		Yes	HEC	USGS	12.35	10200				Good	0.03	1.30		MEAS	1	Imported Channel 1	UNSP	other		10200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	46	1942-02-10		Yes	HEC/MID	USGS	13.78	12700				Good	0.07	1.40		MEAS	1	Imported Channel 1	UNSP	other		12700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	47	1942-02-13		Yes	SWW	USGS	14.68	14700				Good	-0.19	2.10		MEAS	1	Imported Channel 1	UNSP	other		14700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03371500	48	1942-03-12		Yes	SAW/HOM	USGS	14.09	12400				Good	0.14	2.20		MEAS	1	Imported Channel 1	UNSP	other		12400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
