#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:34:11 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10256060 WHITEWATER R A WHITEWATER CUT A WHITE WATER CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10256060	1	1986-05-08		Yes	MLW/JMS	USGS	9.25	491.0	 1.0	0.00	6.00	FAIR	0.24	0.58		MEAS	1	Unspecified	CRAN	QUNSP		491.0	49.0	259	1.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	2	1986-05-09		Yes	MLW	USGS	9.37	480.0	 1.0	0.00	-3.60	FAIR	0.05	1.08		MEAS	1	Unspecified	CRAN	QUNSP		480.0	49.0	256	1.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	3	1986-05-22		Yes	MLW/JA	USGS	8.47	269.0	 1.0	0.00		POOR	0.00	0.67		MEAS	1	Unspecified	CRAN	QUNSP		269.0	50.0	157	1.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	4	1986-06-05		Yes	MLW	USGS	8.99	396.0	 1.0	0.00	1.00	FAIR	0.00	0.75		MEAS	1	Unspecified	CRAN	QUNSP		396.0	48.0	191	2.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	5	1986-07-02		Yes	MLW/BEM	USGS	10.05	722.0	 1.0	0.00	0.00	FAIR	0.00	0.83		MEAS	1	Unspecified	CRAN	QUNSP		722.0	48.0	112	6.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	6	1986-09-05		Yes	MLW/BEM	USGS	10.24	556.0	 1.0	0.00		FAIR	0.00	1.25		MEAS	1	Unspecified	CRAN	QUNSP		556.0	48.0	149	3.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	7	1986-10-30		Yes	MLW/JA	USGS	10.31	891.0	 1.0	0.00	4.80	FAIR	0.03	0.83		MEAS	1	Unspecified	CRAN	QUNSP		891.0	49.0	160	5.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	8	1987-02-02		Yes	MLW	USGS	9.78	608.0	 1.0	0.00	-3.20	FAIR	0.00	1.17		MEAS	1	Unspecified	CRAN	QUNSP		608.0	48.0	113	5.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	9	1987-03-06		Yes	MLW	USGS	9.45	551.0	 1.0	0.00	5.60	FAIR	0.00	0.92		MEAS	1	Unspecified	CRAN	QUNSP		551.0	48.0	101	5.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	10	1987-06-06		Yes	MLW	USGS		0.250		0.00		POOR				MEAS	1	Unspecified	UNSP			0.250				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	11	1987-10-23		Yes	BEM	USGS	6.37	42.2		0.00		POOR	-0.05	0.25		MEAS	1	Unspecified	WADE	QUNSP		42.2	31.0	10.9	3.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	12	1987-11-03		Yes	BEM	USGS	6.05	20.1		0.00		POOR	-0.07	0.58		MEAS	1	Unspecified	UNSP			20.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	13	1987-11-23		Yes	BEM/JA	USGS	6.50	8.10		0.00		POOR	0.01	0.38		MEAS	1	Unspecified	UNSP			8.10				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	14	1988-08-09		Yes	TSH/JG	USGS	6.00	0.590		0.00		POOR			CLER	MEAS	1	Unspecified	WADE	QUNSP		0.590	3.90	1.03	0.570	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	15	1988-08-15		Yes	TSH/RGS	USGS	6.03	1.63		0.00		POOR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		1.63	5.70	1.38	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	16	1988-08-22		Yes	TSH/JMS	USGS	6.09	6.69		0.00		POOR	0.01	0.30	MDDB	MEAS	1	Unspecified	WADE	QUNSP		6.69	8.40	2.89	2.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	1000M	1988-10-03 10:55:00	PDT	Yes	TSH	USGS		2.23	 2.0	0.00		POOR	0.00	0.45		MEAS	1	Unspecified	WADE	QUNSP		2.23	4.60	1.03	2.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	1001M	1988-10-17 09:30:00	PDT	Yes	TSH	USGS		2.46	 2.0	0.00		POOR				MEAS	1	Unspecified	WADE	QUNSP		2.46	5.60	1.13	2.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	1002M	1988-10-28 09:55:00	PDT	Yes	TSH/MJD	USGS		2.65	 2.0	0.00		FAIR				MEAS	1	Unspecified	WADE	QUNSP		2.65	4.70	1.25	2.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	1003M	1988-11-09 13:30:00	PST	Yes	TSH	USGS		4.28	 2.0	0.00		POOR				MEAS	1	Unspecified	WADE	QUNSP		4.28	6.50	2.12	2.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	17	1988-12-06 12:45:00	PST	Yes	TSH	USGS	6.07	2.24	 2.0	0.00		POOR	0.00	0.41	CLER	MEAS	1	Unspecified	WADE	QUNSP		2.24	5.10	2.44	0.918	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	18	1988-12-15 15:16:00	PST	Yes	TSH	USGS	6.11	3.21	 2.0	0.00		POOR	0.00	0.30	CLER	MEAS	1	Unspecified	WADE	QUNSP		3.21	5.40	3.33	0.964	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	19	1988-12-16 14:58:00	PST	Yes	TSH	USGS	6.19	6.07	 2.0	0.00		POOR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		6.07	8.30	5.38	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	1004M	1989-01-19 14:02:00	PST	Yes	TSH	USGS		7.40	 2.0	0.00		POOR				MEAS	1	Unspecified	WADE	QUNSP		7.40	10.0	2.69	2.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	1005M	1989-02-24 14:19:00	PST	Yes	TSH	USGS		2.27	 2.0	0.00		POOR			HVDB	MEAS	1	Unspecified	WADE	QUNSP		2.27	5.20	3.11	0.730	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	1006M	1989-03-13 09:50:00	PST	Yes	JG	USGS		2.62	 2.0	0.00		POOR			HVDB	MEAS	1	Unspecified	WADE	QUNSP		2.62	4.60	1.34	1.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	1007M	1989-04-13 13:28:00	PDT	Yes	TSH	USGS		1.30	 2.0	0.00		POOR			HVDB	MEAS	1	Unspecified	WADE	QUNSP		1.30	5.90	2.19	0.594	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10256060	1008M	1989-05-03 14:54:00	PDT	Yes	TSH/NKN	USGS		3.15	 2.0	0.00		POOR			HVDB	MEAS	1	Unspecified	WADE	QUNSP		3.15	8.40	3.69	0.854	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
