#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:34:19 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10257550 WHITEWATER R A WINDY PT NR WHITE WATER CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10257550	47E	1988-11-15 13:21:00	PST	Yes	TSH	USGS	3.36	3.12	 3.0	-0.020	-24.0	POOR			HVDB	MEAS	1	Unspecified	WADE	QUNSP		3.12	7.60	1.47	2.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	48	1989-01-09 15:17:00	PST	Yes	TSH	USGS	3.39	9.01	 3.0	0.050	61.0	POOR	0.00	0.70	HVDB	MEAS	1	Unspecified	WADE	QUNSP		9.01	10.5	2.78	3.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	49	1989-11-02 09:45:00	PST	Yes	NKN/TSH	USGS	4.81	363.0	 4.0	0.00	-0.800	GOOD	-0.01	0.68	CLER	MEAS	1	Unspecified	WADE	QUNSP		363.0	83.0	94.0	3.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	50	1989-11-02 11:05:00	PST	Yes	NKN	USGS	4.81	373.0	 4.0	0.010	1.90	GOOD	0.00	0.66	CLER	MEAS	1	Unspecified	WADE	QUNSP		373.0	83.0	92.7	4.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	51	1989-11-03 13:50:00	PST	Yes	JMS	USGS	4.77	341.0	 4.0	0.00	0.00	GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		341.0	40.5	69.4	4.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	52	1989-11-06 11:45:00	PST	Yes	NKN/RGS	USGS	4.72	338.0	 4.0	0.040	8.50	POOR	0.00	1.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		338.0	40.6	74.4	4.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	53	1989-11-08 10:28:00	PST	Yes	NKN	USGS	4.69	348.0	 4.0	0.090	18.0	POOR	0.00	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		348.0	54.0	84.4	4.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	54	1989-11-08 11:40:00	PST	Yes	NKN	USGS	4.69	353.0	 4.0	0.100	20.0	POOR	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		353.0	54.0	88.3	4.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	55	1989-11-13 11:19:00	PST	Yes	NKN	USGS	4.64	315.0	 4.0	0.090	19.0	POOR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		315.0	52.0	80.7	3.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	56	1989-11-13 12:50:00	PST	Yes	NKN	USGS	4.64	307.0	 4.0	0.070	14.0	POOR	0.00	0.63	CLER	MEAS	1	Unspecified	WADE	QUNSP		307.0	52.0	82.4	3.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	57	1990-01-11 11:24:00	PST	Yes	NKN	USGS	4.31	117.0	 4.0	-0.030	-8.90	POOR	-0.07	1.30	CLER	MEAS	1	Unspecified	WADE	QUNSP		117.0	46.0	45.7	2.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	58	1990-01-11 14:09:00	PST	Yes	NKN	USGS	4.40	167.0	 4.0	0.010	3.40	GOOD	0.00	0.48	CLER	MEAS	1	Unspecified	WADE	QUNSP		167.0	47.0	53.1	3.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	59	1990-01-12 11:19:00	PST	Yes	NKN	USGS	4.83	353.0	 4.0	-0.040	-6.60	FAIR	0.00	1.76	CLER	MEAS	1	Unspecified	WADE	QUNSP		353.0	42.0	76.6	4.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	60	1990-01-16 13:45:00	PST	Yes	NKN	USGS	4.94	386.0	 4.0	-0.100	-15.0	POOR	-0.01	0.88	CLER	MEAS	1	Unspecified	WADE	QUNSP		386.0	43.0	78.2	4.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	61	1990-02-20 12:15:00	PST	Yes	NKN	USGS	3.53	6.82	 4.0	-0.020	-9.50	POOR	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		6.82	18.0	12.8	0.533	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	62	1990-03-08 14:12:00	PST	Yes	NKN	USGS	4.41	182.3	 4.0	0.040	10.0	POOR	0.00	0.55	CLER	MEAS	1	Unspecified	WADE	QUNSP		182.3	46.0	53.3	3.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	63	1990-04-17 13:24:00	PDT	Yes	NKN	USGS	3.34	0.300	 4.0	-0.130	-90.0	POOR	-0.04	0.20	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.300	8.00	1.84	0.163	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	64	1990-07-16 13:15:00	PDT	Yes	NKN	USGS	3.37	2.34	 4.0	-0.060	-31.0	POOR	0.01	0.63	CLER	MEAS	1	Unspecified	WADE	QUNSP		2.34	11.6	4.32	0.540	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	65	1990-08-13 11:05:00	PDT	Yes	NKN	USGS	3.52	7.77	 4.0	0.020	7.70	FAIR	0.00	0.62	CLER	MEAS	1	Unspecified	WADE	QUNSP		7.77	13.8	4.74	1.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	66	1990-08-20 15:44:00	PDT	Yes	NKN	USGS	3.36	4.20	 4.0	0.050	16.5	POOR	0.00	5.00	LGDB	MEAS	1	Unspecified	WADE	QUNSP		4.20	12.5	3.00	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	67	1990-09-05 15:01:00	PDT	Yes	NKN	USGS	3.41	6.55	 4.0	0.080	55.0	POOR	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		6.55	16.5	3.24	2.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10257550	68	1990-09-06 12:24:00	PDT	Yes	NKN	USGS	3.50	9.94	 4.0	0.100	51.0	POOR	0.02	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		9.94	16.5	4.72	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
