#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:34:18 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10259540 WHITEWATER R NR MECCA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10259540	137	1979-07-20		Yes	UNK	USGS	11.70	11000		0.00		UNSP				UNSP	1	Unspecified	OTHR	QIDIR		11000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	273	1983-08-18		Yes	GBS/RF	USGS	5.85	835.0		0.00		UNSP				UNSP	1	Unspecified	UNSP			835.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	274	1983-08-19		Yes	GBS/RF	USGS	5.34	494.0		0.00		UNSP				UNSP	1	Unspecified	UNSP			494.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	285	1984-07-23		Yes	FAC/RJ	USGS	6.97	284.0	 9.0	-2.11	-0.070	FAIR	0.04	0.70		MEAS	1	Unspecified	UNSP			284.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	336	1989-08-17 09:00:00	PDT	Yes	RMJ	USGS	4.60	88.4		0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		88.4	50.0	62.6	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	337	1989-10-05 07:53:00	PDT	Yes	KLS	USGS	4.62	78.5		0.00		FAIR	0.02	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		78.5	45.7	51.0	1.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	338	1989-10-19 09:26:00	PDT	Yes	FAC/CC	USGS	4.67	86.0		0.00		FAIR	0.00	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		86.0	49.0	57.7	1.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	339	1989-11-03 08:52:00	PST	Yes	KLS	USGS	4.78	81.8		0.00		FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		81.8	46.0	58.5	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	340	1989-11-15 10:25:00	PST	Yes	KLS	USGS	4.70	73.0		0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		73.0	46.0	56.6	1.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	341	1989-12-01 10:05:00	PST	Yes	KLS	USGS	4.74	80.8		0.00		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		80.8	52.0	57.8	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	342	1989-12-06 12:58:00	PST	Yes	KLS	USGS	4.74	78.9		0.00		GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		78.9	52.0	56.5	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	343	1990-01-10 11:28:00	PST	Yes	KLS	USGS	4.75	72.7		0.00		EXCL	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		72.7	48.5	52.9	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	344	1990-02-07 09:00:00	PST	Yes	KLS	USGS	4.94	84.6		0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		84.6	49.0	66.9	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	345	1990-03-08 09:31:00	PST	Yes	KLS	USGS	4.94	82.6		0.00		FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		82.6	47.5	57.5	1.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	346	1990-03-22 09:09:00	PST	Yes	KLS	USGS	5.16	95.5		0.00		FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		95.5	47.5	65.9	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	347	1990-03-27 08:25:00	PST	Yes	KLS	USGS	5.22	98.3		0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		98.3	48.0	68.8	1.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	348	1990-04-03 13:36:00	PDT	Yes	KLS	USGS	5.18	89.9		0.00		FAIR	0.02	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		89.9	48.0	64.7	1.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	349	1990-04-19 08:19:00	PDT	Yes	KLS	USGS	5.23	101.0		0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		101.0	48.0	68.5	1.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	350	1990-05-01 15:45:00	PDT	Yes	RMJ	USGS	5.11	90.9		0.00		GOOD	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		90.9	53.0	65.5	1.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	351	1990-06-05 05:40:00	PDT	Yes	KLS	USGS	5.05	83.1		0.00		POOR	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		83.1	48.0	57.4	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	352	1990-06-26 10:15:00	PDT	Yes	KLS	USGS	5.03	72.9		0.00		FAIR	0.01	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		72.9	47.5	54.2	1.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	353	1990-07-31 05:50:00	PDT	Yes	KLS	USGS	5.62	101.0		0.00		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		101.0	50.0	81.3	1.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	354	1990-08-28 07:30:00	PDT	Yes	KLS	USGS	5.30	81.3		0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		81.3	49.5	59.2	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	355	1990-10-03 12:35:00	PDT	Yes	KLS	USGS	5.26	74.2	14.0	-0.400	2.30	FAIR	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		74.2	46.0	52.0	1.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	356	1990-10-16 15:10:00	PDT	Yes	KLS/CC	USGS	5.33	78.3	14.0	-0.400	2.50	GOOD	0.00	0.40		MEAS	1	Unspecified	WADE	QUNSP		78.3	45.5	55.0	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	357	1990-10-24 09:15:00	PDT	Yes	KLS	USGS	5.16	63.2	14.0	-0.400	-4.70	POOR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		63.2	46.0	47.9	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	358	1990-10-30 12:55:00	PST	Yes	KLS	USGS	5.25	69.6	14.0	-0.400	-3.10	FAIR	0.01	0.50		MEAS	1	Unspecified	WADE	QUNSP		69.6	46.0	50.8	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	359	1990-12-06 12:45:00	PST	Yes	KLS	USGS	5.25	64.9	14.0	-0.520	0.060	FAIR	0.02	0.40		MEAS	1	Unspecified	WADE	QUNSP		64.9	44.5	47.0	1.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	360	1990-12-13 08:30:00	PST	Yes	KLS	USGS	5.35	72.7	14.0	-0.520	2.10	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		72.7	45.0	49.8	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	361	1991-01-09 09:00:00	PST	Yes	KLS	USGS	5.46	75.4	14.0	-0.520	-3.00	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		75.4	50.0	55.2	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10259540	362	1991-02-06 09:15:00	PST	Yes	KLS	USGS	5.40	74.5	14.0	-0.520	0.900	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		74.5	49.0	52.3	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
