#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:34:24 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05052000 WILD RICE RIVER NEAR MANTADOR, ND
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05052000	1	1944-04-05		Yes	STE	USGS	3.56	18.1				GOOD	0.00	0.33	CICE	MEAS	1		UNSP	QSCMM	VPAA	18.1	36.0	32.1	0.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052000	2	1944-04-10		Yes	STE	USGS	4.20	78.2				GOOD	-0.04	0.83		MEAS	1		UNSP	QSCMM	VPAA	78.2	39.0	87.6	0.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052000	3	1944-04-14		Yes	STE	USGS	3.83	124				GOOD	0.00	1.00		MEAS	1		UNSP	QSCMM	VPAA	124	38.0	101	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052000	4	1944-04-19		Yes	STE	USGS	3.77	123				GOOD	0.00	1.00		MEAS	1		UNSP	QSCMM	VPAA	123	39.0	102	1.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052000	5	1944-04-28		Yes	STE	USGS	2.95	82.2				GOOD	-0.01	1.00		MEAS	1		UNSP	QSCMM	VPAA	82.2	35.0	72.9	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052000	6	1944-06-07		Yes	ROS	USGS	3.77	127				GOOD	0.01	1.25		MEAS	1		UNSP	QSCMM	VPAA	127	43.0	114	1.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052000	7	1944-08-02		Yes	ROS	USGS	3.21	92.6				GOOD	0.00	0.92		MEAS	1		UNSP	QSCMM	VPAA	92.6	31.0	71.9	1.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052000	8	1944-08-25		Yes	THO	USGS	1.32	15.1				GOOD	-0.01	0.42		MEAS	1		UNSP	QSCMM	VPAA	15.1	25.0	15.4	0.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052000	9	1944-10-03		Yes	STE	USGS	1.36	16.5				GOOD	0.00	0.50		MEAS	1		UNSP	QSCMM	VPAA	16.5	26.0	19.3	0.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052000	10	1944-11-25		Yes	KBN	USGS	1.64	25.0				GOOD	0.00	0.50		MEAS	1		UNSP	QSCMM	VPAA	25.0	21.0	34.4	0.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052000	11	1944-12-23		Yes	KBN	USGS	1.67	2.58				GOOD	0.00	0.35	CICE	MEAS	1		UNSP	QSCMM	VPAA	2.58	18.0	5.95	0.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052000	12	1945-03-22		Yes	KBN	USGS	9.56	932				GOOD	0.00	1.00		MEAS	1		UNSP	QSCMM	VPAA	932	44.0	403	2.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052000	13	1945-03-24		Yes	KBN	USGS	9.43	845				GOOD	-0.03	1.15		MEAS	1		UNSP	QSCMM	VPAA	845	44.0	404	2.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052000	14	1945-03-26		Yes	KBN	USGS	9.25	745				GOOD	-0.01	1.15		MEAS	1		UNSP	QSCMM	VPAA	745	44.0	396	1.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
