#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:34:24 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05052075 WILD RICE RIVER AT GREAT BEND, ND
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05052075	1	2003-04-09 12:05:00	CDT	Yes	JBK/SMR	USGS	10.43	11.0	 1.0	-0.030	-2.70	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		11.0	10.4	20.7	0.530	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052075	2	2003-04-22 11:35:00	CDT	Yes	JBK/CDL	USGS	12.05	61.6	 1.0	0.00	0.300	FAIR	-0.04	0.70	MDDB	MEAS	1	Unspecified	WADE	QUNSP		61.6	39.5	65.5	0.940	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052075	3	2003-04-30 13:10:00	CDT	Yes	JBK	USGS	11.12	29.0	 1.0	0.080	-3.60	GOOD	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		29.0	30.0	32.0	0.910	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052075	4	2003-05-19 14:40:00	CDT	Yes	JML	USGS	13.98	189.5	 1.0	0.080	4.40	GOOD	0.03	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		189.5	52.0	206	0.920	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052075	5	2003-05-21 11:45:00	CDT	Yes	JML	USGS	13.94	169.0	 1.0	0.00	-2.90	FAIR	0.00	0.10	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	169.0	52.0	206	0.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052075	6	2003-06-12 13:40:00	CDT	Yes	JBK/CDL	USGS	12.77	131.0	 1.0	0.470	4.00	FAIR	0.00	1.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		131.0	64.0	260	0.500	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052075	7	2003-06-25 10:15:00	CDT	Yes	JBK/SMR	USGS	21.58	907.0	 1.0	0.00	4.90	FAIR	0.26	1.50	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		907.0	64.0	725	1.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052075	8	2003-06-26 14:45:00	CDT	Yes	JML/CDL	USGS	22.46	944.0	 1.0	0.00	-2.50	FAIR	-0.05	0.70	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	944.0	68.0	856	1.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05052075	9	2003-08-20 08:30:00	CDT	Yes	JBK	USGS	10.43	12.2	 1.0	0.00	3.40	FAIR	0.00	0.50	HVDB	MEAS	1	Unspecified	WADE	QUNSP		12.2	25.5	16.6	0.730	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
