#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:34:41 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 14171600 WILLAMETTE RIVER AT CORVALLIS, OR
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	14171600	1A	2002-09-24 00:01:00	PDT	Yes	USGS	USGS		5290				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		5290				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14171600	1	2009-10-05 13:21:00	PDT	Yes	JDS	USGS	10.99	6600				Good	-0.04	1.80	Clear	MEAS	1	Imported Channel 1	BRUS	QSCMM	VPAA	6600	373	3510	1.88	FIRM	BLDR	UNEV	unkn	EVEN	UNSP	UPST	20.00
USGS	14171600	2	2009-12-07 14:01:30	PST	Yes	JDS	USGS	11.02	6930				Good	0.00	1.60	Clear	MEAS	1	Imported Channel 1	BRUS	QSCMM	VPAA	6930	375	3510	1.97	FIRM	BLDR	UNEV	unkn	EVEN	UNSP	UPST	30.00
USGS	14171600	3	2010-02-08 13:47:30	PST	Yes	JDS	USGS	12.49	9980				Fair	-0.01	1.20	Clear	MEAS	1	Imported Channel 1	BRUS	QSCMM	VADCP	9980	367	386	2.59	FIRM	BLDR	UNEV	unkn	EVEN	UNSP	UPST	30.00
USGS	14171600	4	2010-03-31 13:25:00	PDT	Yes	JDS	USGS	20.85	37000				Poor	-0.09	2.10	Clear	MEAS	1	Imported Channel 1	BRUS	QSCMM	VPAA	37000	406	7100	5.22	FIRM	BLDR	UNEV	unkn	UNEV	UNSP	UPST	30.00
USGS	14171600	5	2010-03-31 16:02:30	PDT	Yes	JDS	USGS	20.74	35400				Fair	-0.08	1.90	Clear	MEAS	1	Imported Channel 1	BRUS	QSCMM	VPAA	35400	404	7030	5.04	FIRM	BLDR	UNEV	unkn	UNEV	UNSP	UPST	30.00
USGS	14171600	6	2010-06-28 16:38:30	PDT	Yes	AJS	USGS	11.99	8170				Poor	-0.01	1.10	Clear	MEAS	1	Imported Channel 1	BRUS	QSCMM	VADCP	8170	374	3100	2.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14171600	7	2010-08-26 08:40:30	PDT	Yes	ajs/doc	USGS	10.16	5040				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	5040	394	1560	3.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14171600	8	2010-11-16 15:05:30	PST	Yes	ajs	USGS	13.20	11400				Fair	0.00	0.40	Clear	MEAS	1	1	MBOT	QADCP	VADCP	11400	448	2980	3.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	DNST	300.00
USGS	14171600	9	2011-04-06 12:03:44	PDT	Yes	DOC	USGS	18.42	27800				Good	0.01	0.30	Clear	OTHR	1	1	MBOT	QADCP	VADCP	27500	453	5250	5.24	FIRM	GRVL	EVEN	unkn	EVEN	STND	DNST	500.00
USGS	14171600	10	2011-06-14 09:18:00	PDT	Yes	DOC/GDL	USGS	14.04	14900				Good	0.01	0.30	Clear	OTHR	1	1	MBOT	QADCP	VADCP	14700	425	3480	4.16	FIRM	GRVL	EVEN	unkn	EVEN	STND	DNST	1500.00
USGS	14171600	11	2011-07-28 14:02:00	PDT	Yes	DOC	USGS	10.71	6110				Good	0.00	0.40	Clear	MEAS	1	1	MBOT	QADCP	VADCP	6110	419	1770	3.46	FIRM	GRVL	EVEN	unkn	EVEN	UNFM	DNST	1000.00
USGS	14171600	12	2011-07-28 14:27:30	PDT	Yes	DOC	USGS	10.71	6100				Good	0.00	0.30	Clear	MEAS	1	1	MBOT	QADCP	VADCP	6100	417	1760	3.46	FIRM	BLDR	EVEN	unkn	EVEN	STND	DNST	1000.00
USGS	14171600	13	2011-10-18 09:13:00	PDT	Yes	DOC	USGS	12.02	8790				Good	0.01	0.30	Clear	MEAS	1	1	MBOT	QADCP	VADCP	8790	428	2370	3.70	FIRM	GRVL	EVEN	unkn	EVEN	STND	DNST	1000.00
USGS	14171600	14	2012-01-04 09:39:00	PST	Yes	DOC/CEB	USGS	17.49	24700				Good	0.03	0.20	Clear	MEAS	1	1	MBOT	QADCP	VADCP	24700	436	4870	5.08	FIRM	CBLS	EVEN	unkn	EVEN	STND	DNST	1000.00
USGS	14171600	15	2012-01-20 16:57:00	PST	Yes	JDS/CEB	USGS	28.52	71600				Poor	0.19	2.20	Clear	MEAS	1	Imported Channel 1	BRUS	QSCMM	VADV	71600	587	10400	6.88	FIRM	BLDR	EVEN	unkn	EVEN	STND	UPST	400.00
USGS	14171600	16	2012-02-14 09:07:00	PST	Yes	DOC	USGS	12.94	11100				Good	0.01	0.30	Unspecifed	MEAS	1	1	MBOT	QADCP	VADCP	11100	427	2810	3.95	FIRM	GRVL	EVEN	unkn	EVEN	STND	DNST	1000.00
USGS	14171600	17	2012-05-03 13:59:18	PDT	Yes	DOC	USGS	16.98	21800				Good	0.01	0.30	Clear	OTHR	1	1	MBOT	QADCP	VADCP	21600	449	4350	4.98	FIRM	CBLS	EVEN	unkn	EVEN	STND	DNST	800.00
