#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:34:56 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06218500 WIND RIVER NEAR DUBOIS, WY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06218500	69	1919-11-06		Yes	WRS	USGS	2.52	113				Good	0.00	1.10	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	113	55.0	91.5	1.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	25	1947-09-16		Yes	??W	USGS	2.33	97.3				Unspecified	0.00	1.20		MEAS	1	Imported Channel 1	UNSP	other		97.3				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	26	1947-10-08		Yes	??W	USGS	2.34	101				Unspecified	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		101				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	52	1949-09-01		Yes	EVR	USGS	2.37	86.3				Good	0.00	1.20	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	86.3	52.0	84.8	1.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	53	1949-10-01		Yes	BHR	USGS	2.38	90.0				Good	0.01	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		90.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	54	1949-10-24		Yes	BHR	USGS	2.25	66.8				Good	0.02	1.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		66.8				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	55	1949-11-10		Yes	EVR	USGS	2.34	83.4				Good	0.00	1.20	Clear	MEAS	1	Imported Channel 1	UNSP	other		83.4				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	55A	1949-11-29		Yes	MLT	USGS	2.17	40.9				Fair	0.00	0.80	IceShore	MEAS	1	Imported Channel 1	UNSP	other		40.9				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	56	1949-12-31		Yes	EVR	USGS	3.25	64.4				Poor	0.00	1.30	IceCover	MEAS	1	Imported Channel 1	UNSP	other		64.4				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	57	1950-01-30		Yes	BHR	USGS	0.00	58.0				Fair	0.00	0.80	IceCover	MEAS	1	Imported Channel 1	UNSP	other		58.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	58	1950-03-02		Yes	BHR	USGS	0.00	59.2				Fair	-0.11	0.30	IceCover	MEAS	1	Imported Channel 1	UNSP	other		59.2				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	59	1950-04-07		Yes	EVR	USGS	2.42	91.2				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	UNSP	other		91.2				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	60	1950-05-04		Yes	EVR	USGS	2.34	79.0				Fair	0.01	1.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		79.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	61	1950-05-30		Yes	WRS	USGS	3.60	529				Unspecified	-0.02	0.80		MEAS	1	Imported Channel 1	UNSP	other		529				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	62	1950-06-15		Yes	BHR	USGS	4.10	832				Unspecified	-0.03	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		832				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06218500	63	1950-06-20		Yes	WRS	USGS	4.48	1030				Good	-0.04	1.70	DebrisLight	MEAS	1	Imported Channel 1	UNSP	other		1030				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
