#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:35:07 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06228000 WIND RIVER AT RIVERTON, WY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06228000	597	1979-09-04		Yes	RCB	USGS	3.44	254				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		254				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06228000	598	1979-10-03		Yes	CFO	USGS	3.96	434				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	UNSP	other		434				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06228000	599	1979-11-08		Yes	CFO/LKB	USGS	3.94	435				Good	0.01	0.60	Clear	MEAS	1	Imported Channel 1	UNSP	other		435				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06228000	600	1979-12-10		Yes	RCB/CFO	USGS	6.42	373				Fair	-0.03	0.60	IceCover	MEAS	1	Imported Channel 1	UNSP	other		373				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06228000	601	1980-01-15		Yes	RCB/CFO	USGS	7.66	368				Poor	-0.04	1.10	IceCover	MEAS	1	Imported Channel 1	UNSP	other		368				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06228000	602	1980-03-05		Yes	RCB/CFO	USGS	6.40	297				Fair	-0.05	0.50	IceShore	MEAS	1	Imported Channel 1	UNSP	other		297				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06228000	603	1980-04-02		Yes	RCB	USGS	2.87	122				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		122				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06228000	604	1980-05-07		Yes	RCB	USGS	5.40	1340				Good	0.04	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		1340				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06228000	605	1980-06-02		Yes	RCB	USGS	3.91	386				Good	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		386				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06228000	606	1980-06-13		Yes	RCB	USGS	7.44	3530				Fair	0.00	1.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		3530				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06228000	607	1980-07-11		Yes	RCB	USGS	4.68	847				Good	-0.03	1.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		847				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06228000	608	1980-07-23		Yes	RCB	USGS	2.55	73.5				Fair	0.01	0.70	Clear	MEAS	1	Imported Channel 1	UNSP	other		73.5				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
