#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:35:09 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05390101 WISCONSIN RIVER NEAR LAND O LAKES, WI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05390101	1	1956-09-24 11:00:00	CST	Yes	JLO	USGS	1.65	40.7		0.00		GOOD	0.00	0.60		MEAS	1	Unspecified	WADE	QUNSP		40.7	28.0	61.2	0.670	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05390101	2	2002-06-20 09:00:00	CDT	Yes	TLW/JCK	USGS	78.72	15.4	 1.0	0.320	0.00	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		15.4	23.0	19.9	0.770	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05390101	3	2002-07-08 12:04:00	CDT	Yes	TLD	USGS	78.90	15.3	 1.0	0.140	-0.600	GOOD	-0.05	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		15.3	31.0	25.3	0.600	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05390101	4	2002-08-20 11:20:00	CDT	Yes	DGW/DAB	USGS	79.06	13.5	 1.0	-0.120	3.80	FAIR	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		13.5	34.0	34.3	0.390	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05390101	5	2002-09-10 11:35:00	CDT	Yes	TLW/BN	USGS	79.16	14.4	 1.1	-0.140	-3.40	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		14.4	28.0	34.2	0.420	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05390101	6	2002-10-01 11:15:00	CDT	Yes	DGW/DAB	USGS	79.14	15.0	 1.1	-0.130	2.70	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		15.0	33.0	37.2	0.400	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05390101	7	2002-11-05 12:15:00	CST	Yes	DGW	USGS	79.30	22.4	 1.1	0.00	0.900	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		22.4	37.0	46.6	0.481	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05390101	8	2002-12-10 10:50:00	CST	Yes	DGW/DAB	USGS	80.24	64.2	 1.1	-0.180	-0.600	POOR	0.00	0.75		MEAS	1	Unspecified	WADE	QUNSP		64.2	47.0	86.2	0.740	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05390101	9	2003-01-21 11:20:00	CST	Yes	DGW/DAB	USGS	79.76	38.2	 1.1	0.00	-1.30	GOOD	0.00	0.50	SICE	MEAS	1	Unspecified	WADE	QUNSP		38.2	29.0	37.6	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05390101	10	2003-03-11 10:25:00	CST	Yes	DGW/SBH	USGS	79.48	27.5	 1.1	0.00	0.00	GOOD	-0.01	0.50		MEAS	1	Unspecified	WADE	QUNSP		27.5	38.0	38.4	0.720	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05390101	11	2003-04-17 09:50:00	CDT	Yes	DGW	USGS	78.80	9.88	 1.1	0.00	-1.20	FAIR	0.00	0.60		MEAS	1	Unspecified	WADE	QUNSP		9.88	32.0	26.7	0.370	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05390101	12	2003-05-28 11:35:00	CDT	Yes	DGW	USGS	80.00	59.4	 1.1	0.00	3.30	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		59.4	46.0	81.1	0.730	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
