#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:35:10 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05391000 WISCONSIN RIVER @ RAINBOW LAKE NR LAKE TOMAHAWK,WI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05391000	2	1936-07-08		Yes	Sachs	USGS	4.98	1680				FAIR			UNSP	MEAS	1		UNSP	QSCMM		1680	149	650	2.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	9	1937-01-18		Yes	Sachs	USGS	3.76	943				GOOD			UNSP	MEAS	1		UNSP	QSCMM		943	126	498	1.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	10	1937-02-10		Yes	Sachs	USGS	3.64	804				GOOD			UNSP	MEAS	1		UNSP	QSCMM		804	122	466	1.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	13	1937-05-10		Yes	Sachs	USGS	4.08	1120				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1120	126	518	2.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	18	1938-02-04		Yes	RHB	USGS	3.60	804				GOOD			UNSP	MEAS	1		UNSP	QSCMM		804	125	470	1.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	19	1938-05-25		Yes	MSS	USGS	4.83	1520				EXCL			UNSP	MEAS	1		UNSP	QSCMM		1520	132	630	2.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	20	1938-07-13		Yes	RHB	USGS	3.39	889				GOOD			UNSP	MEAS	1		UNSP	QSCMM		889	127	447	1.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	21	1938-09-13		Yes	RHB	USGS	3.75	1080				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1080	129	508	1.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	23	1938-10-14		Yes	KSB MSS	USGS	3.42	871				GOOD			UNSP	MEAS	1		UNSP	QSCMM		871	128	457	1.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	24	1939-01-25		Yes	MSS	USGS	4.61	1500				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1500	131	639	2.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	26	1939-05-10		Yes	FCC	USGS	4.09	1290				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1290	128	540	2.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	27	1939-05-25		Yes	JHOK	USGS	4.55	1510				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1510	144	615	2.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	28	1939-06-29		Yes	MSS	USGS	5.16	1840				EXCL			UNSP	MEAS	1		UNSP	QSCMM		1840	147	716	2.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	29	1939-06-30		Yes	MSS	USGS	6.43	2650				EXCL			UNSP	MEAS	1		UNSP	QSCMM		2650	185	956	2.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	30	1939-07-28		Yes	JHOK	USGS	3.24	903				GOOD			UNSP	MEAS	1		UNSP	QSCMM		903	127	439	1.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	38	1940-05-09		Yes	JHOK	USGS	4.12	1300				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1300	127	542	2.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	39	1940-06-06		Yes	RHB KSB	USGS	3.87	1230				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1230	129	535	2.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	40	1940-07-12		Yes	MSS	USGS	3.35	957				GOOD			UNSP	MEAS	1		UNSP	QSCMM		957	129	458	1.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	44	1941-01-24		Yes	MSS	USGS	3.38	924				EXCL			UNSP	MEAS	1		UNSP	QSCMM		924	128	441	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	45	1941-02-26		Yes	KSB	USGS	2.75	700				GOOD			UNSP	MEAS	1		UNSP	QSCMM		700	126	371	1.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	52	1941-09-11		Yes	KSB	USGS	3.29	942				GOOD			UNSP	MEAS	1		UNSP	QSCMM		942	130	445	1.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	53	1941-10-05		Yes	JHOK	USGS	4.21	1430				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1430	127	551	2.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	54	1941-11-15		Yes	RHB LEB	USGS	3.91	1240				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1240	130	515	2.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	55	1941-12-22		Yes	LEB	USGS	3.38	974				EXCL			UNSP	MEAS	1		UNSP	QSCMM		974	128	457	1.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	56	1942-01-23		Yes	LEB	USGS	3.16	875				GOOD			UNSP	MEAS	1		UNSP	QSCMM		875	127	425	2.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	57	1942-02-14		Yes	JHOK	USGS	3.27	921				GOOD			UNSP	MEAS	1		UNSP	QSCMM		921	128	428	2.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	58	1942-03-14		Yes	LEB	USGS	2.92	773				GOOD			UNSP	MEAS	1		UNSP	QSCMM		773	127	380	2.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	60	1942-05-24		Yes	LEB	USGS	3.93	1300				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1300	128	524	2.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	62	1942-07-18		Yes	LEB JOB	USGS	6.72	3020				GOOD			UNSP	MEAS	1		UNSP	QSCMM		3020	163	958	2.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	64	1942-07-18		Yes	LEB JOB	USGS	7.22	3440				GOOD			UNSP	MEAS	1		UNSP	QSCMM		3440	163	1040	3.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	65	1942-07-19		Yes	LEB JOB	USGS	6.24	2670				GOOD			UNSP	MEAS	1		UNSP	QSCMM		2670	150	872	2.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	67	1942-09-12		Yes	KSB	USGS	2.92	824				GOOD			UNSP	MEAS	1		UNSP	QSCMM		824	130	377	1.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	68	1942-10-23		Yes	LEB	USGS	3.06	881				GOOD			UNSP	MEAS	1		UNSP	QSCMM		881	125	395	1.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	69	1942-12-06		Yes	Bidwell	USGS	3.18	925				GOOD			UNSP	MEAS	1		UNSP	QSCMM		925	126	416	1.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	70	1943-01-11		Yes	Brigham	USGS	3.51	1060				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1060	130	454	2.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	71	1943-02-14		Yes	Bidwell	USGS	3.72	1180				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1180	130	491	2.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	72	1943-03-21		Yes	Bidwell	USGS	2.89	703				GOOD			UNSP	MEAS	1		UNSP	QSCMM		703	125	356	1.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	73	1943-05-06		Yes	Bidwell	USGS	4.28	1550				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1550	135	567	2.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	74	1943-06-25		Yes	Bid Seld	USGS	4.46	1660				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1660	135	592	2.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	76	1943-10-09		Yes	Bidwell	USGS	2.60	713				GOOD			UNSP	MEAS	1		UNSP	QSCMM		713	127	335	2.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	78	1944-01-22		Yes	Brigham	USGS	2.80	779				GOOD			UNSP	MEAS	1		UNSP	QSCMM		779	128	363	1.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	79	1944-02-18		Yes	Bidwell	USGS	3.02	864				GOOD			UNSP	MEAS	1		UNSP	QSCMM		864	130	388	2.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	81	1944-06-19		Yes	Bidwell	USGS	3.02	940				GOOD			UNSP	MEAS	1		UNSP	QSCMM		940	127	403	1.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	90	1945-04-19		Yes	Bidwell	USGS	2.70	727				GOOD			UNSP	MEAS	1		UNSP	QSCMM		727	127	343	2.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	91	1945-06-26		Yes	Bidwell	USGS	3.51	1120				GOOD			UNSP	MEAS	1		UNSP	QSCMM		1120	128	452	2.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	92	1945-08-03		Yes	Bid Beck	USGS	2.55	709				GOOD			UNSP	MEAS	1		UNSP	QSCMM		709	127	339	1.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05391000	93	1945-09-20		Yes	Bidwell	USGS	3.00	884				GOOD			UNSP	MEAS	1		UNSP	QSCMM		884	127	386	2.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
