#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:35:23 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02310800 WITHLACOOCHEE RIVER NR EVA, FLA.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02310800	1	1958-07-22		Yes	EKN	USGS	3.98	19.0				Poor	-0.03	3.20		MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.0	26.0	59.4	0.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	2	1958-08-19		Yes	EKN	USGS	3.23	2.81				Poor	0.00	2.10		MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.81	22.0	38.1	0.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	3	1958-09-16		Yes	EKN	USGS	3.11	2.29				Good	0.00	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.29	12.0	8.47	0.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	4	1958-10-14		Yes	EKN	USGS	2.80	0.46				Fair	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.46	7.00	2.61	0.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	5	1958-11-12		Yes	EKN	USGS	4.02	23.1				Fair	-0.02	5.10		MEAS	1	Imported Channel 1	WADE	unspe	unkno	23.1	27.0	63.0	0.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	6	1958-12-09		Yes	EKN	USGS	3.34	3.25				Fair	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.25	11.0	7.50	0.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	7	1959-01-08		Yes	EWM	USGS	4.90	158				Poor	0.00	2.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	158	93.0	153	0.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	8	1959-02-03		Yes	EKN	USGS	4.48	63.0				Fair	0.00	2.80		MEAS	1	Imported Channel 1	UNSP	other		63.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	9	1959-03-03		Yes	EKN	USGS	4.87	121				Fair	0.00	3.00		MEAS	1	Imported Channel 1	UNSP	other		121				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	10	1959-03-18		Yes	EKN	USGS	5.78	667				Poor	0.00	4.70		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	667	245	730	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	11	1959-03-24		Yes	EKN	USGS	5.99	736				Fair	0.00	4.80		MEAS	1	Imported Channel 1	UNSP	other		736				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	12	1959-04-28		Yes	EKN	USGS	5.50	346				Fair	0.00	5.10		MEAS	1	Imported Channel 1	UNSP	other		346				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	13	1959-05-26		Yes	EKN	USGS	4.24	45.6				Good	0.00	3.60		MEAS	1	Imported Channel 1	UNSP	other		45.6				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	14	1959-06-22		Yes	EKN	USGS	5.97	600				Fair	0.00	3.50		MEAS	1	Imported Channel 1	UNSP	other		600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	15	1959-07-22		Yes	EKN	USGS	5.66	409				Fair	-0.01	5.80		MEAS	1	Imported Channel 1	UNSP	other		409				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	16	1959-08-18		Yes	RWS	USGS	5.83	441				Fair	0.00	4.40		MEAS	1	Imported Channel 1	UNSP	other		441				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	17	1959-09-15		Yes	EKN	USGS	5.38	309				Fair	0.00	4.50		MEAS	1	Imported Channel 1	UNSP	other		309				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	18	1959-10-14		Yes	EKN	USGS	5.21	232				Fair	0.00	3.40		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	232	145	573	0.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	19	1959-11-10		Yes	EKN	USGS	5.18	171				Fair	-0.01	4.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	171	42.0	140	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	20	1959-12-09		Yes	RDR	USGS	4.39	51.9				Good	0.00	1.80		MEAS	1	Imported Channel 1	UNSP	other		51.9				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	21	1960-01-05		Yes	EKN	USGS	4.41	48.6				Fair	0.00	2.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	48.6	30.5	46.8	0.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310800	22	1960-02-01		Yes	EKN	USGS	4.30	44.2				Fair	0.00	2.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	44.2	16.0	37.9	0.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
