#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:35:24 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02310947 WITHLACOOCHEE RIVER NEAR CUMPRESSCO, FL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02310947	1	1961-05-10		Yes	PRA	USGS		1.80				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.80			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	2	1961-05-21		Yes	PRA	USGS		1.12				Fair	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.12			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	3	1965-05-04		Yes	PEM	USGS		3.76				Fair	-0.01	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.76			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	4	1966-06-07		Yes	PEM	USGS	1.18	0.28				Good	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.28	4.00	1.33	0.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	5	1967-03-01		Yes	DCC	USGS	2.41	95.2				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	95.2	188	116	0.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	6	1967-04-05		Yes	DCC	USGS	1.34	4.38				Good	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.38	29.0	9.36	0.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	12	1967-11-14		Yes	PEM	USGS	1.46	4.88				Fair	-0.01	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.88			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	13	1968-01-04		Yes	PEM	USGS	1.31	1.91				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.91			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	14	1968-02-16		Yes	PEM	USGS	1.10	0.30				Fair	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.30			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	15	1968-04-04		Yes	PEM/AFR	USGS	1.16	0.84				Good	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.84	4.60	2.29	0.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	20	1968-11-19		Yes	PEM	USGS	3.37	284				Fair	0.00	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	284	265	534	0.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	21	1969-01-08		Yes	PEM	USGS	2.32	79.3				Fair	0.00	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	79.3			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	22	1969-02-10		Yes	PEM	USGS	1.96	33.9				Poor	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	33.9	59.0	35.8	0.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	23	1969-03-26		Yes	PEM	USGS	5.11	896				Fair	-0.02	1.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	896	287	1090	0.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	24	1969-04-08		Yes	ALB	USGS	2.90	259				Fair	0.00	1.20		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	259	278	387	0.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	32	1969-11-18		Yes	ALB	USGS	3.29	287				Fair	0.00	1.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	287	278	563	0.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	33	1970-01-05		Yes	ALB	USGS	4.46	549				Fair	0.00	1.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	549	283	938	0.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	34	1970-02-25		Yes	SCO	USGS	3.86	333				Fair	0.00	1.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	333	282	755	0.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	39	1970-11-09		Yes	SCO	USGS	1.53	14.2				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.2			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	40	1971-01-05		Yes	SCO	USGS	1.27	7.98				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	7.98			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	41	1971-02-18		Yes	SCO	USGS	2.67	142				Fair	0.00	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	142			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	42	1971-04-07		Yes	SCO	USGS	1.39	112				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	112			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02310947	47	1971-11-05		Yes	HGG	USGS	1.50	19.9				Good	0.00	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.9			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
