#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:35:43 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02313250 WITHLACOOCHEE R BYPASS CHANNEL NR INGLIS FLA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02313250	1	1969-12-19 10:10:00	EST	Yes	ALB	USGS	26.79	928				Good	0.01	1.00	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	928	24.0	251	3.70	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	4000.00
USGS	02313250	2	1969-12-22 10:42:30	EST	Yes	ALB	USGS	27.16	1200				Good	-0.02	1.10	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1200	24.0	254	4.72	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	4000.00
USGS	02313250	3	1970-01-08 14:10:00	EST	Yes	PP	USGS	26.95	1310				Good	-0.04	1.70	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1310	24.0	257	5.10	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	4000.00
USGS	02313250	4	1970-01-18 09:37:30	EST	Yes	ALB	USGS	27.16	1480				Good	0.03	0.90	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1480	24.0	250	5.92	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UNSP	
USGS	02313250	5	1970-01-22 13:40:00	EST	Yes	ALB	USGS	26.03	1090				Good	-0.02	0.80	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1090	24.0	230	4.74	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	4000.00
USGS	02313250	6	1970-02-24 12:17:30	EST	Yes	PEM	USGS	25.85	1010				Good	-0.01	0.90	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1010	24.0	228	4.43	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	4000.00
USGS	02313250	7	1970-03-03 09:25:00	EST	Yes	ALB	USGS	26.38	1180				Good	0.00	0.80	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1180	24.0	233	5.06	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	4000.00
USGS	02313250	8	1970-03-31 09:27:30	EST	Yes	ALB	USGS	27.04	1490				Good	-0.01	0.90	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1490	24.0	247	6.03	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	4000.00
USGS	02313250	9	1970-04-30 11:07:30	EDT	Yes	PEM	USGS	27.61	1370				Good	0.01	0.90	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1370	24.0	262	5.23	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	4000.00
USGS	02313250	10	1970-05-09 10:52:30	EDT	Yes	PP	USGS	27.65	1580				Good	0.00	0.80	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1580	24.0	261	6.05	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	4000.00
USGS	02313250	11	1970-05-20 11:00:00	EDT	Yes	ALB	USGS	27.43	1590				Good	0.00	1.00	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1590	24.0	257	6.19	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	4000.00
USGS	02313250	12	1970-07-01 10:07:30	EDT	Yes	PEM	USGS	27.29	1430				Good	0.00	0.90	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1430	24.0	254	5.63	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	4000.00
USGS	02313250	14	1970-07-13 11:02:30	EDT	Yes	ALB	USGS	27.20	1300				Good	0.00	0.90	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1300	97.0	734	1.77	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	2600.00
USGS	02313250	13	1970-07-13 11:27:30	EDT	Yes	FIS	USGS	27.20	1330				Good	0.00	2.10	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1330	24.1	256	5.23	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UNSP	
USGS	02313250	15	1970-07-13 13:47:30	EDT	Yes	FES	USGS	27.20	1340				Good	0.00	0.60	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1340	25.1	269	4.98	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UNSP	
USGS	02313250	16	1970-07-13 14:17:30	EDT	Yes	ALB	USGS	27.20	1310				Good	0.00	1.10	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1310	97.0	739	1.77	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	2600.00
USGS	02313250	17	1970-07-30 10:30:00	EDT	Yes	TMH/ALB	USGS	27.12	1300				Good	0.00	1.20	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1300	103	753	1.73	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	200.00
USGS	02313250	18	1970-09-03 10:20:00	EDT	Yes	ALB	USGS	27.25	1300				Good	0.00	1.00	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1300	104	783	1.66	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	2600.00
USGS	02313250	19	1970-10-02 10:20:00	EDT	Yes	ALB	USGS	27.46	1430				Good	0.00	1.00	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1430	104	812	1.76	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	2600.00
USGS	02313250	20	1970-11-03 10:15:00	EST	Yes	ALB	USGS	27.12	1350				Good	0.00	1.00	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1350	94.0	846	1.60	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	600.00
USGS	02313250	21	1970-12-02 16:05:00	EST	Yes	CJC	USGS	26.75	1260				Good	0.00	1.20	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1260	95.0	952	1.32	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	2600.00
USGS	02313250	22	1971-01-05 09:45:00	EST	Yes	ALB	USGS	26.76	1260				Good	0.00	1.00	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1260	99.0	985	1.28	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	2600.00
USGS	02313250	23	1971-02-02 10:42:30	EST	Yes	CJC	USGS	26.45	1090				Good	0.00	1.10	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1090	99.0	917	1.19	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	2600.00
USGS	02313250	24	1971-03-03 12:20:00	EST	Yes	ALB	USGS	27.03	1240				Fair	-0.04	0.80	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1240	102	1020	1.22	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	2600.00
USGS	02313250	25	1971-04-02 10:35:00	EST	Yes	CJC	USGS	26.50	1080				Good	-0.01	1.20	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1080	98.0	915	1.18	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	2600.00
USGS	02313250	26	1971-05-04 12:25:00	EDT	Yes	CJC	USGS	26.26	1030				Good	-0.01	1.20	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	1030	104	916	1.12	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	2600.00
USGS	02313250	27	1971-05-11 10:42:30	EDT	Yes	DCC	USGS	26.76	700				Good	0.01	1.10	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	700	107	970	0.73	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	2600.00
USGS	02313250	28	1971-05-18 14:22:30	EDT	Yes	CJC	USGS	27.40	976				Good	0.00	1.30	Unspecifed	MEAS	1	Imported Channel 1	MBOT	QSCMM	VPAA	976	107	1080	0.90	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	2600.00
