#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:35:54 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02319300 WITHLACOOCHEE RIVER NR MADISON FLA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02319300	1	1960-04-11		Yes	DK	USGS	70.24	25200				Good	0.00	1.80		MEAS	1	Imported Channel 1	UNSP	other		25200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	2	1977-06-01		Yes	JDG	USGS	42.00	404				Poor	0.01	1.10		MEAS	1	Imported Channel 1	UNSP	other		404				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	3	1984-02-07		Yes	MPF/PEM	USGS	61.29	11600				Fair	-0.12	1.90		MEAS	1	Imported Channel 1	UNSP	other		11600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	4	1984-03-13		Yes	PEM/JL	USGS	72.19	30700				Fair	-0.10	2.50		MEAS	1	Imported Channel 1	UNSP	other		30700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	5	1984-03-15		Yes	AEA/PRM	USGS	70.16	23300				Fair	-0.20	3.80		MEAS	1	Imported Channel 1	UNSP	other		23300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	6	1990-08-22 15:10:00	EDT	Yes	AEA	USGS	41.04	92.9				Fair				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	92.9	71.0	213	0.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	7	1990-11-07		Yes	LAS	USGS	40.87	33.0				Fair				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	33.0	76.0	216	0.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	8	2004-10-18 10:11:00	EDT	Yes	DBD/RBS	USGS	52.44	3180				Good				MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3180	0.00	0.00	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	9	2004-12-06 10:06:00	EST	Yes	DBD/RBS	USGS	47.68	3490				Fair	0.01	0.10	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3490	0.00	0.00	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	10	2005-03-24 10:26:00	EST	Yes	DBD/RBS	USGS	52.06	6790				Good	0.01	0.20	DebrisLight	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	6790	0.00	0.00	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	11	2005-04-08 09:18:00	EDT	Yes	DBD/RBS	USGS	66.88	14800				Fair	0.01	0.20	DebrisModerate	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	14800	0.00	0.00	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	12	2005-04-26 09:51:00	EDT	Yes	DBD/RBS	USGS	49.98	2710				Fair	-0.01	0.20	DebrisLight	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	2710	0.00	0.00	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	13	2005-05-19 10:36:00	EDT	Yes	DBD/RBS	USGS	44.51	1360				Fair	-0.03	0.20	DebrisLight	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	1360	0.00	0.00	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	14	2005-06-20 09:34:00	EDT	Yes	DBD/RBS	USGS	56.30	9520				Good	0.00	0.20	DebrisLight	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	9520	0.00	0.00	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	15	2005-07-27 13:05:00	EDT	Yes	DBD/RBS	USGS	48.88	3350				Good	0.04	0.20	DebrisLight	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3350	0.00	0.00	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	16	2005-08-10 09:40:00	EDT	Yes	DBD/RBS	USGS	51.37	5710				Good	-0.01	0.30	DebrisLight	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	5710	0.00	0.00	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	17	2005-10-03 10:37:00	EDT	Yes	DBD/RBS	USGS	42.07	485				Poor	0.00	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	485	0.00	0.00	0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	18	2005-11-17 11:55:00	EST	Yes	DBD/RBS	USGS	41.57	147				Poor	0.00	0.80	DebrisLight	BYPS	1	Imported Channel 1	WADE	unspe	unkno	147	171	389	0.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	19	2005-12-15 10:03:00	EST	Yes	DBD/TRP	USGS	42.48	671				Fair	0.00	0.20	DebrisLight	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	671				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02319300	20	2006-01-17 10:01:00	EST	Yes	DBD/RBS	USGS	44.96	1800				Good	0.00	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	1800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
