#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:36:23 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06771000 WOOD RIVER NEAR RIVERDALE, NEBR.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06771000	1	1946-06-11		Yes	MGZ	USGS	2.76	1.80				UNSP	0.00		UNSP	UNSP	1		UNSP			1.80				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	2	1946-06-25		Yes	CHC	USGS	2.76	1.30				UNSP	0.00		UNSP	UNSP	1		UNSP			1.30				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	3	1946-07-03		Yes	MGZ	USGS	2.93	12.0				UNSP	0.00		UNSP	UNSP	1		UNSP			12.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	4	1946-07-09		Yes	MGZ	USGS	4.72	128				UNSP	0.00		UNSP	UNSP	1		UNSP			128				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	5	1946-07-15		Yes	Ender	USGS	4.94	147				UNSP	0.00		UNSP	UNSP	1		UNSP			147				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	6	1946-08-05		Yes	DBE	USGS	2.78	1.50				UNSP	0.00		UNSP	UNSP	1		UNSP			1.50				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	7	1946-08-13		Yes	DBE	USGS	3.19	0.59				UNSP	0.00		UNSP	UNSP	1		UNSP			0.59				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	8	1946-09-07		Yes	DBE	USGS	6.54	285				UNSP	0.00		UNSP	UNSP	1		UNSP			285				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	9	1946-09-07 00:01:00	CST	Yes	DBE	USGS	6.04	245				UNSP			UNSP	UNSP	1		UNSP	QSCMM		245				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	10	1946-09-10		Yes	DBE	USGS	3.72	55.8				UNSP	0.00		UNSP	UNSP	1		UNSP			55.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	11	1946-09-17		Yes	DBE	USGS	2.83	2.20				UNSP	0.00		UNSP	UNSP	1		UNSP			2.20				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	12	1946-10-01		Yes	DBE	USGS	3.01	3.40				UNSP	0.00		UNSP	UNSP	1		UNSP			3.40				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	13	1946-10-10		Yes	DBE	USGS	5.72	237				UNSP	0.00		UNSP	UNSP	1		UNSP			237				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	14	1946-10-22		Yes	DBE	USGS	3.02	4.40				UNSP	0.00		UNSP	UNSP	1		UNSP			4.40				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	15	1946-11-04		Yes	DBE	USGS	3.00	3.60				UNSP	0.00		UNSP	UNSP	1		UNSP			3.60				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	16	1946-11-19		Yes	DBE	USGS	3.05	8.60				UNSP	0.00		UNSP	UNSP	1		UNSP			8.60				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	17	1946-12-04		Yes	DBE	USGS	2.94	4.10				UNSP	0.09		UNSP	UNSP	1		UNSP			4.10				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	18	1946-12-17		Yes	DBE	USGS	2.95	3.10				UNSP	0.09		UNSP	UNSP	1		UNSP			3.10				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	19	1946-12-31		Yes	DBE	USGS	2.92	2.90				UNSP	0.00		UNSP	UNSP	1		UNSP			2.90				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	20	1947-01-08		Yes	DBE	USGS	2.95	3.80				UNSP	0.00		UNSP	UNSP	1		UNSP			3.80				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	21	1947-02-03		Yes	DBE	USGS	2.97	3.90				UNSP	0.09		UNSP	UNSP	1		UNSP			3.90				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	22	1947-02-25		Yes	DBE	USGS	3.09	5.00				UNSP	0.00		UNSP	UNSP	1		UNSP			5.00				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	23	1947-03-11		Yes	DBE	USGS	3.19	15.9				UNSP	0.03		UNSP	UNSP	1		UNSP			15.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	24	1947-03-25		Yes	DBE	USGS	3.03	9.70				UNSP	0.02		UNSP	UNSP	1		UNSP	QSCMM		9.70				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	25	1947-04-02		Yes	DBE	USGS	2.97	5.10				UNSP	0.09		UNSP	UNSP	1		UNSP			5.10				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	26	1947-04-15		Yes	DBE	USGS	2.99	6.90				UNSP	0.05		UNSP	UNSP	1		UNSP			6.90				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	27	1947-04-29		Yes	DBE	USGS	2.94	4.70				UNSP	0.17		UNSP	UNSP	1		UNSP			4.70				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	28	1947-05-15		Yes	DBE	USGS	2.96	3.60				UNSP	0.13		UNSP	UNSP	1		UNSP			3.60				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	29	1947-05-27		Yes	DBE	USGS	2.91	3.10				UNSP	0.10		UNSP	UNSP	1		UNSP			3.10				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	30	1947-06-12		Yes	DBE	USGS	3.04	10.0				UNSP	0.02		UNSP	UNSP	1		UNSP			10.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	31	1947-06-22		Yes	Harding	USGS	19.75	20000				UNSP			UNSP	UNSP	1		UNSP			20000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	32	1947-06-23		Yes	Leeson	USGS	13.19	2710				UNSP	0.00		UNSP	UNSP	1		UNSP			2710				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	33	1947-06-24		Yes	Hintz	USGS	12.17	1880				UNSP	0.00		UNSP	UNSP	1		UNSP			1880				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	34	1947-06-25		Yes	Ender	USGS	5.62	229				UNSP	0.00		UNSP	UNSP	1		UNSP			229				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	35	1947-06-28		Yes	Ender	USGS	3.38	27.2				UNSP	0.00		UNSP	UNSP	1		UNSP			27.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	36	1947-07-11		Yes	Ender	USGS	3.07	8.20				UNSP	0.10		UNSP	UNSP	1		UNSP			8.20				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	37	1947-07-18		Yes	Ender	USGS	6.28	296				UNSP	0.00		UNSP	UNSP	1		UNSP			296				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	38	1947-07-28		Yes	Ender	USGS	3.01	6.50				UNSP	0.09		UNSP	UNSP	1		UNSP			6.50				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	39	1947-08-05		Yes	Ender	USGS	3.01	2.70				UNSP	0.21		UNSP	UNSP	1		UNSP			2.70				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	40	1947-08-19		Yes	Ender	USGS	2.99	1.70				UNSP	0.23		UNSP	UNSP	1		UNSP			1.70				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	41	1947-09-04		Yes	Ender	USGS	2.99	1.20				UNSP	0.26		UNSP	UNSP	1		UNSP			1.20				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	42	1947-09-16		Yes	Ender	USGS	2.93	1.40				UNSP	0.19		UNSP	UNSP	1		UNSP			1.40				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	43	1947-10-06		Yes	Ender	USGS	2.94	0.080				UNSP	0.23		UNSP	UNSP	1		UNSP			0.080				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	44	1947-10-16		Yes	Ender	USGS	2.97	1.36				UNSP	0.15		UNSP	UNSP	1		UNSP			1.36				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	45	1947-11-04		Yes	Ender	USGS	3.00	2.03				UNSP	0.15		UNSP	UNSP	1		UNSP			2.03				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	46	1947-11-25		Yes	Ender	USGS	2.94	249				UNSP	0.07		UNSP	UNSP	1		UNSP			249				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	47	1947-12-03		Yes	Ender	USGS	2.94	3.17				UNSP	0.04		UNSP	UNSP	1		UNSP			3.17				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	48	1947-12-12		Yes	Ender	USGS	2.94	2.68				UNSP	0.06		UNSP	UNSP	1		UNSP			2.68				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	49	1947-12-30		Yes	Ender	USGS	2.95	3.04				UNSP	0.05		UNSP	UNSP	1		UNSP			3.04				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	50	1948-01-13		Yes	Ender	USGS	3.22	16.5				UNSP	0.07		UNSP	UNSP	1		UNSP			16.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	51	1948-02-02		Yes	Ender	USGS	2.94	3.54				UNSP	0.02		UNSP	UNSP	1		UNSP			3.54				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	52	1948-02-19		Yes	Ender	USGS	3.03	8.40				UNSP	0.00		UNSP	UNSP	1		UNSP			8.40				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	53	1948-03-02		Yes	Ender	USGS	4.22	63.2				UNSP	0.38		UNSP	UNSP	1		UNSP			63.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	54	1948-03-16		Yes	Ender	USGS	10.95	1260				UNSP	0.00		UNSP	UNSP	1		UNSP			1260				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	55	1948-03-17		Yes	Ender	USGS	11.00	1280				UNSP	0.00		UNSP	UNSP	1		UNSP			1280				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	56	1948-03-22		Yes	Ender	USGS	3.22	20.8				UNSP	0.01		UNSP	UNSP	1		UNSP			20.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	57	1948-04-14		Yes	Ender	USGS	3.01	4.14				UNSP	0.08		UNSP	UNSP	1		UNSP			4.14				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	58	1948-05-03		Yes	Ender	USGS	2.95	4.21				UNSP	0.02		UNSP	UNSP	1		UNSP			4.21				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	59	1948-05-19		Yes	Ender	USGS	2.86	2.87				UNSP	0.03		UNSP	UNSP	1		UNSP			2.87				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	60	1948-06-03		Yes	Ender	USGS	2.87	235				UNSP	0.00		UNSP	UNSP	1		UNSP			235				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771000	61	1948-06-17		Yes	Ender	USGS	3.00	1.95				UNSP	0.15		UNSP	UNSP	1		UNSP			1.95				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
