#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:36:19 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06771500 WOOD RIVER NEAR GIBBON, NE
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06771500	1	1949-05-18		Yes	JEL	USGS	3.32	12.8				UNSP	0.19		UNSP	UNSP	1		UNSP			12.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	2	1949-05-23		Yes	Carstens	USGS	3.75	24.9				UNSP	0.19		UNSP	UNSP	1		UNSP			24.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	3	1949-05-31		Yes	Carstens	USGS	2.92	6.17				UNSP	0.19		UNSP	UNSP	1		UNSP			6.17				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	4	1949-06-02		Yes	Page	USGS	12.59	652				UNSP	0.00		UNSP	UNSP	1		UNSP			652				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	5	1949-06-08		Yes	Lind	USGS	15.04	1270				UNSP	0.00		UNSP	UNSP	1		UNSP			1270				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	6	1949-06-10		Yes	Ericson	USGS	13.75	871				UNSP	0.00		UNSP	UNSP	1		UNSP			871				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	7	1949-06-15		Yes	WJP	USGS	4.98	89.1				UNSP	0.08		UNSP	UNSP	1		UNSP			89.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	8	1949-06-15 00:01:00	CST	Yes	JEL	USGS	6.88	210				UNSP			UNSP	UNSP	1		UNSP	QSCMM		210				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	9	1949-06-28		Yes	DWE	USGS	3.10	14.5				UNSP	0.10		UNSP	UNSP	1		UNSP			14.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	10	1949-07-13		Yes	DWE	USGS	4.31	56.5				UNSP	0.00		UNSP	UNSP	1		UNSP			56.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	11	1949-07-27		Yes	CEF	USGS	2.71	6.54				UNSP	0.06		UNSP	UNSP	1		UNSP			6.54				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	12	1949-08-08		Yes	JEL	USGS	2.55	3.70				UNSP	0.03		UNSP	UNSP	1		UNSP			3.70				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	13	1949-08-24		Yes	CEF	USGS	2.46	2.37				UNSP	0.03		UNSP	UNSP	1		UNSP			2.37				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	14	1949-09-07		Yes	CHC	USGS	4.59	72.9				UNSP	0.04		UNSP	UNSP	1		UNSP			72.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	15	1949-09-11		Yes	CHC	USGS	7.05	236				UNSP	0.11		UNSP	UNSP	1		UNSP			236				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	16	1949-09-12		Yes	JEL	USGS	8.10	302				UNSP	0.00		UNSP	UNSP	1		UNSP			302				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	17	1949-09-12 00:01:00	CST	Yes	JEL	USGS	8.04	297				UNSP			UNSP	UNSP	1		UNSP	QSCMM		297				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	18	1949-09-21		Yes	CEF	USGS	2.53	2.58				UNSP	0.02		UNSP	UNSP	1		UNSP			2.58				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	19	1949-10-06		Yes	WJP	USGS	2.58	1.07				UNSP	0.22		UNSP	UNSP	1		UNSP			1.07				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	20	1949-10-19		Yes	Lind	USGS	2.61	2.37				UNSP	0.12		UNSP	UNSP	1		UNSP			2.37				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	21	1949-10-31		Yes	WJP	USGS	2.73	3.61				UNSP	0.16		UNSP	UNSP	1		UNSP			3.61				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	22	1949-11-17		Yes	JEL	USGS	2.74	3.91				UNSP	0.15		UNSP	UNSP	1		UNSP			3.91				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	23	1949-11-28		Yes	Carstens	USGS	2.83	4.39				UNSP	0.20		UNSP	UNSP	1		UNSP			4.39				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	24	1949-12-15		Yes	CEF	USGS	2.98	3.93				UNSP	0.15		CICE	UNSP	1		UNSP			3.93				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	25	1949-12-31		Yes	CHC	USGS	3.27	5.10				UNSP	0.40		UNSP	UNSP	1		UNSP			5.10				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	26	1950-01-09		Yes	JEL	USGS	3.54	4.08				UNSP	0.17		UNSP	UNSP	1		UNSP			4.08				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	27	1950-01-23		Yes	WJP	USGS	3.88	4.57				UNSP	0.15		CICE	UNSP	1		UNSP			4.57				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	28	1950-02-08		Yes	CEF	USGS	4.19	4.48				UNSP	0.10		UNSP	UNSP	1		UNSP			4.48				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	29	1950-02-21		Yes	WJP	USGS	7.37	55.0				UNSP	0.23		CICE	UNSP	1		UNSP			55.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	30	1950-02-24		Yes	Rostvedt	USGS	6.80	58.3				UNSP	0.29		UNSP	UNSP	1		UNSP			58.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	31	1950-03-06		Yes	JEL	USGS	4.67	13.0				UNSP	0.19		CICE	UNSP	1		UNSP			13.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	32	1950-03-17		Yes	Langford	USGS	4.94	10.8				UNSP	0.13		CICE	UNSP	1		UNSP			10.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	33	1950-03-22		Yes	WJP	USGS	4.60	8.57				UNSP	0.15		UNSP	UNSP	1		UNSP			8.57				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	34	1950-04-06		Yes	Page	USGS	3.11	10.5				UNSP	0.11		UNSP	UNSP	1		UNSP			10.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	35	1950-04-19		Yes	Page	USGS	2.92	7.93				UNSP	0.06		UNSP	UNSP	1		UNSP			7.93				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	36	1950-05-02		Yes	Carstens	USGS	2.87	6.72				UNSP	0.09		UNSP	UNSP	1		UNSP			6.72				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	37	1950-05-09		Yes	JOR	USGS	3.07	10.9				UNSP	0.05		UNSP	UNSP	1		UNSP			10.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	38	1950-05-18		Yes	Neill	USGS	3.01	10.6				UNSP	0.01		UNSP	UNSP	1		UNSP			10.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	39	1950-05-20		Yes	CHC	USGS	4.52	62.6				UNSP	0.09		UNSP	UNSP	1		UNSP			62.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	40	1950-05-31		Yes	EDN	USGS	4.53	55.8				UNSP	0.23		UNSP	UNSP	1		UNSP			55.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	41	1950-06-13		Yes	Lind	USGS	2.76	6.33				UNSP	0.00		UNSP	UNSP	1		UNSP			6.33				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	42	1950-06-21		Yes	Ericson	USGS	6.82	195				UNSP	0.25		UNSP	UNSP	1		UNSP			195				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	43	1950-06-26		Yes	EDN	USGS	2.87	8.72				UNSP	0.04		UNSP	UNSP	1		UNSP			8.72				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	44	1950-07-09		Yes	WJP	USGS	14.81	1170				UNSP	0.00		UNSP	UNSP	1		UNSP			1170				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	45	1950-07-10		Yes	WJP	USGS	15.67	1650				UNSP	0.00		UNSP	UNSP	1		UNSP			1650				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	46	1950-07-11		Yes	DWE	USGS	10.00	324				UNSP	1.59		UNSP	UNSP	1		UNSP			324				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	47	1950-07-24		Yes	EDN	USGS	8.82	308				UNSP	0.63		UNSP	UNSP	1		UNSP			308				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	48	1950-07-27		Yes	EDN	USGS	8.64	296				UNSP	0.63		UNSP	UNSP	1		UNSP			296				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	49	1950-08-07		Yes	EDN	USGS	3.42	16.8				UNSP	0.13		UNSP	UNSP	1		UNSP			16.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	50	1950-08-21		Yes	DWE	USGS	3.80	30.1				UNSP	0.07		UNSP	UNSP	1		UNSP			30.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	51	1950-09-05		Yes	EDN	USGS	2.75	4.56				UNSP	0.11		UNSP	UNSP	1		UNSP			4.56				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	52	1950-09-18		Yes	Neill	USGS	3.55	22.6				UNSP	0.06		UNSP	UNSP	1		UNSP			22.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	53	1950-09-20		Yes	Lind	USGS	5.56	113				UNSP	0.30		UNSP	UNSP	1		UNSP			113				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	54	1950-09-20 00:01:00	CST	Yes	Lind	USGS	5.88	131				UNSP			UNSP	UNSP	1		UNSP			131				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	55	1950-09-28		Yes	Page	USGS	3.07	6.65				UNSP	0.30		UNSP	UNSP	1		UNSP			6.65				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	56	1950-10-04		Yes	WJP	USGS	4.42	39.6				UNSP	0.46		UNSP	UNSP	1		UNSP			39.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	57	1950-10-17		Yes	CHC	USGS	3.42	2.71				UNSP	0.78		UNSP	UNSP	1		UNSP			2.71				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	58	1950-10-31		Yes	Neill	USGS	3.29	5.22				UNSP	0.48		UNSP	UNSP	1		UNSP			5.22				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	59	1950-11-14		Yes	WJP	USGS	3.30	6.11				UNSP	0.44		UNSP	UNSP	1		UNSP			6.11				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	60	1950-11-27		Yes	EDN	USGS	3.32	5.88				UNSP	0.32		CICE	UNSP	1		UNSP			5.88				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	61	1950-12-11		Yes	WJP	USGS	3.58	6.32				UNSP	0.46		UNSP	UNSP	1		UNSP			6.32				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	62	1950-12-29		Yes	Lind	USGS	3.61	5.78				UNSP	0.40		UNSP	UNSP	1		UNSP			5.78				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	63	1951-01-12		Yes	CHC	USGS	3.67	7.57				UNSP	0.47		UNSP	UNSP	1		UNSP			7.57				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	64	1951-01-30		Yes	Opocensk	USGS	3.74	4.10				UNSP	0.25		UNSP	UNSP	1		UNSP			4.10				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	65	1951-02-06		Yes	WJP	USGS	4.00	5.33				UNSP	0.21		UNSP	UNSP	1		UNSP			5.33				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	66	1951-02-21		Yes	WJP	USGS	4.26	9.07				UNSP	0.28		UNSP	UNSP	1		UNSP			9.07				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	67	1951-03-05		Yes	Ericson	USGS	3.81	13.2				UNSP	0.68		UNSP	UNSP	1		UNSP			13.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	68	1951-03-13		Yes	WJP	USGS	3.30	4.17				UNSP	0.51		UNSP	UNSP	1		UNSP			4.17				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	69	1951-03-20		Yes	DWE	USGS	3.30	8.16				UNSP	0.32		UNSP	UNSP	1		UNSP			8.16				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	70	1951-04-02		Yes	WJP	USGS	3.28	7.84				UNSP	0.32		UNSP	UNSP	1		UNSP			7.84				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	71	1951-04-13		Yes	McKim	USGS	3.36	7.76				UNSP	0.41		UNSP	UNSP	1		UNSP			7.76				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	72	1951-04-13 00:01:00	CST	Yes	DWE	USGS	3.05	7.77				UNSP			UNSP	UNSP	1		UNSP			7.77				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	73	1951-04-28		Yes	Lind	USGS	3.82	31.2				UNSP	0.07		UNSP	UNSP	1		UNSP			31.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	74	1951-04-28 00:01:00	CST	Yes	Lind	USGS	4.45	48.5				UNSP			UNSP	UNSP	1		UNSP			48.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	75	1951-04-30		Yes	DWE	USGS	5.64	114				UNSP	0.00		UNSP	UNSP	1		UNSP			114				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	76	1951-05-17		Yes	Page	USGS	3.22	15.3				UNSP	0.10		UNSP	UNSP	1		UNSP			15.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	77	1951-05-23		Yes	Page	USGS	3.72	28.7				UNSP	0.09		UNSP	UNSP	1		UNSP			28.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	78	1951-05-28		Yes	DWE	USGS	3.44	19.8				UNSP	0.06		UNSP	UNSP	1		UNSP			19.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	79	1951-06-02		Yes	Opocensk	USGS	6.19	156				UNSP	0.00		UNSP	UNSP	1		UNSP			156				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	80	1951-06-04		Yes	Rostvedt	USGS	6.11	132				UNSP	0.21		UNSP	UNSP	1		UNSP			132				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	81	1951-06-12		Yes	JEL	USGS	3.05	9.11				UNSP	0.02		UNSP	UNSP	1		UNSP			9.11				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	82	1951-06-15		Yes	WJP	USGS	7.16	202				UNSP	0.25		UNSP	UNSP	1		UNSP			202				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	83	1951-06-20		Yes	DWE	USGS	3.61	23.0				UNSP	0.00		UNSP	UNSP	1		UNSP			23.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	84	1951-06-28		Yes	JEL	USGS	7.28	216				UNSP	0.17		UNSP	UNSP	1		UNSP			216				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	85	1951-07-05		Yes	WJP	USGS	3.16	11.4				UNSP	0.01		UNSP	UNSP	1		UNSP			11.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	86	1951-07-11		Yes	JOR	USGS	3.08	9.96				UNSP	0.01		UNSP	UNSP	1		UNSP			9.96				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	87	1951-07-23		Yes	McKim	USGS	2.94	8.53				UNSP	0.06		UNSP	UNSP	1		UNSP			8.53				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	88	1951-08-06		Yes	McKim	USGS	2.72	3.79				UNSP	0.00		UNSP	UNSP	1		UNSP			3.79				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	89	1951-08-14		Yes	Carstens	USGS	2.55	1.51				UNSP	0.00		UNSP	UNSP	1		UNSP			1.51				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	92	1951-09-18		Yes	McKim	USGS	2.78	2.91				UNSP	0.12		UNSP	UNSP	1		UNSP			2.91				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	93	1951-10-01		Yes	Ericson	USGS	3.09	1.93				UNSP	0.51		UNSP	UNSP	1		UNSP			1.93				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	94	1951-10-15		Yes	DRM	USGS	3.54	0.50				UNSP	1.11		UNSP	UNSP	1		UNSP			0.50				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	95	1951-10-31		Yes	Page	USGS	4.11	2.83				UNSP	1.46		UNSP	UNSP	1		UNSP			2.83				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	96	1951-11-13		Yes	DRM	USGS	3.95	3.56				UNSP	1.25		UNSP	UNSP	1		UNSP			3.56				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	97	1951-11-16		Yes	Lind	USGS	3.24	4.16				UNSP	0.50		UNSP	UNSP	1		UNSP			4.16				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	98	1951-11-28		Yes	DRM	USGS	3.28	5.85				UNSP	0.40		CICE	UNSP	1		UNSP			5.85				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06771500	99	1951-12-10		Yes	DRM	USGS	3.53	4.98				UNSP	0.20		UNSP	UNSP	1		UNSP			4.98				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
