#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:36:17 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06772000 WOOD RIVER NEAR ALDA, NEBR.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06772000	1	1953-11-02		Yes	Brandt	USGS		0.000				UNSP			UNSP	UNSP	1		UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	2	1953-11-16		Yes	Page	USGS		0.000				UNSP	0.00		UNSP	UNSP	1		UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	3	1953-12-01		Yes	Hartley	USGS		0.000				UNSP	0.00		UNSP	UNSP	1		UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	4	1953-12-15		Yes	Hartley	USGS		0.000				UNSP	0.00		UNSP	UNSP	1		UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	5	1953-12-29		Yes	Hartley	USGS		0.000				UNSP	0.00		UNSP	UNSP	1		UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	6	1954-01-11		Yes	Hartley	USGS		0.000				UNSP	0.00		UNSP	UNSP	1		UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	7	1954-01-25		Yes	Page	USGS		0.000				UNSP	0.00		UNSP	UNSP	1		UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	8	1954-02-09		Yes	Hartley	USGS	5.64	41.0				UNSP	0.14		UNSP	UNSP	1		UNSP	QSCMM		41.0	23.0	28.9	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	9	1954-02-23		Yes	Page	USGS		0.000				UNSP	0.00		UNSP	UNSP	1		UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	10	1954-03-09		Yes	Lind	USGS		0.000				UNSP	0.00		UNSP	UNSP	1		UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	11	1954-03-23		Yes	Hartley	USGS		0.000				UNSP	0.00		UNSP	UNSP	1		UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	12	1954-04-05		Yes	Page	USGS		0.000				UNSP	0.00		UNSP	UNSP	1		UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	13	1954-04-21		Yes	Hartley	USGS		0.000				UNSP	0.00		UNSP	UNSP	1		UNSP			0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	14	1954-05-04		Yes	Hartley	USGS	7.29	164				UNSP	0.00		UNSP	UNSP	1		UNSP	QSCMM		164	50.0	108	1.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	15	1954-05-04 00:01:00	CST	Yes	Hartty	USGS	6.42	89.4				UNSP			UNSP	UNSP	1		UNSP	QSCMM		89.4	26.0	46.4	1.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	16	1954-05-06		Yes	VanCleav	USGS	4.43	11.5				UNSP	0.00		UNSP	UNSP	1		UNSP	QSCMM		11.5	16.0	7.80	1.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06772000	17	1954-05-07		Yes	Hartley	USGS	4.66	7.80				UNSP	0.26		UNSP	UNSP	1		UNSP	QSCMM		7.80	16.0	5.92	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
