#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:36:30 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07180200 COTTONWOOD R AT MARION, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07180200	31	1987-09-30 08:50:00	CDT	Yes	GGQ	USGS	5.69	30.7	 2.0			GOOD	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		30.7	47.5	44.7	0.690	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07180200	32	1987-11-10 11:50:00	CST	Yes	GGQ	USGS	5.67	29.9	 3.0			GOOD	0.00	0.67	LGDB	MEAS	1	Unspecified	WADE	QUNSP		29.9	49.5	41.1	0.730	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07180200	33	1987-12-22 16:45:00	CST	Yes	GGQ	USGS	7.20	537.0	 3.0			FAIR	-0.01	0.58	CLER	MEAS	1	Unspecified	CRAN	QUNSP		537.0	84.0	185	2.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07180200	34	1988-01-27 12:30:00	CST	Yes	GGQ	USGS	5.72	33.9	 3.0			GOOD	0.00	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		33.9	43.0	44.1	0.770	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07180200	35	1988-03-10 08:55:00	CST	Yes	GGQ	USGS	5.70	30.1	 3.0			GOOD	0.00	0.58	LGDB	MEAS	1	Unspecified	WADE	QUNSP		30.1	50.0	40.7	0.740	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07180200	36	1988-04-27 12:15:00	CDT	Yes	GGQ	USGS	5.78	34.9	 3.0			GOOD	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		34.9	46.0	42.6	0.820	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07180200	37	1988-06-08 14:15:00	CDT	Yes	GGQ	USGS	5.66	31.4	 3.0			GOOD	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		31.4	46.0	40.8	0.770	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07180200	38	1988-07-21 08:40:00	CDT	Yes	GGQ	USGS	5.51	17.5	 3.0			GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		17.5	43.0	34.9	0.500	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07180200	39	1988-08-31 08:50:00	CDT	Yes	GGQ	USGS	5.39	9.96	 3.0			GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		9.96	43.0	28.7	0.350	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07180200	40	1988-10-11 15:35:00	CDT	Yes	PJF/MPH	USGS	5.38	9.60	 3.0			GOOD	0.00	0.60	LGDB	MEAS	1	Unspecified	WADE	QUNSP		9.60	32.0	14.0	0.680	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
