#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:36:27 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07182260 COTTONWOOD R AT EMPORIA, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07182260	1	2013-10-24 10:00:02	CDT	No																													
USGS	07182260	2	2013-11-13 15:07:16	CST	Yes	ACK/AJP	USGS	2.33	255	0001	0.00	-4.1	FAIR			LGDB	MEAS	1	1	BRDS	QADCP	VADCP	247	73.4	122	2.03	FIRM	GRVL	UNEV	STDY	UNEV	NSTD	DNST	55.00
USGS	07182260	2	2013-11-13 15:07:16	CST	Yes	ACK/AJP	USGS	2.33	255	0001	0.00	-4.1	FAIR			LGDB	MEAS	2	2	OTHR	Q-EST	V-EST	8.00				UNSP	UNSP	UNSP	UNSP	UNEV	UNSP	DNST	55.00
USGS	07182260	3	2014-01-22 11:26:00	CST	Yes	ACK	USGS	1.74	125	0001	-0.01	9.6	POOR			CLER	MEAS	1	1	WADE	QSCMM	VADV	125	54.5	57.8	2.17	FIRM	GRVL	UNEV	STDY	UNEV	STND	DNST	30.00
USGS	07182260	4	2014-03-19 14:40:00	CDT	Yes	Cd	USGS	1.72	105	0001	-0.01	-3.7	GOOD			CLER	MEAS	1	1	WADE	QSCMM	VADV	105	54.9	86.8	1.21	SOFT	GRVL	UNEV	STDY	UNEV	UNSP	DNST	90.00
USGS	07182260	5	2014-05-06 14:28:30	CDT	Yes	Cd	USGS	1.62	73.4	0001	-0.07	-3.8	FAIR			LGDB	MEAS	1	1	WADE	QSCMM	VADV	73.4	55.0	78.7	0.93	SOFT	GRVL	UNEV	STDY	UNEV	UNSP	DNST	120.00
USGS	07182260	6	2014-05-13 15:15:00	CDT	No																													
USGS	07182260	7	2014-05-14 12:02:19	CDT	Yes	Cd	USGS	3.43	618	0001	0.00	-1.3	FAIR			CLER	MEAS	1	1	BRDS	QADCP	VADCP	513	90.4	241	2.13	FIRM	BLDR	UNEV	UNSP	UNSP	UNSP	ATGA	0.00
USGS	07182260	7	2014-05-14 12:02:19	CDT	Yes	Cd	USGS	3.43	618	0001	0.00	-1.3	FAIR			CLER	MEAS	2	2	WADE	QSCMM	VADV	105	30.8	41.6	2.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	07182260	8	2014-05-14 14:06:28	CDT	Yes	Cd	USGS	3.32	589	0001	0.00	0.5	FAIR				OTHR	1	1	BRDS	QADCP	VADCP	107	36.6	49.2	2.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	07182260	8	2014-05-14 14:06:28	CDT	Yes	Cd	USGS	3.32	589	0001	0.00	0.5	FAIR				OTHR	2	2	BRDS	QADCP	VADCP	494	88.3	235	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	07182260	9	2014-06-06 11:53:30	CDT	Yes	Cd	USGS	13.84	6730	0001	0.00	0.0	FAIR			CLER	MEAS	1	1	BRDS	QADCP	VADCP	6730	242	2620	2.57	FIRM	BLDR	UNEV	PULS	UNSP	UNSP	ATGA	0.00
USGS	07182260	10	2014-06-10 11:16:28	CDT	Yes	ACK	USGS	17.46	9610	0001	0.00	0.1	FAIR			MDDB	MEAS	1	1	BRDS	QADCP	VADCP	9610	267	3690	2.60	UNSP	UNSP	UNSP	UNSP	UNEV	UNSP	DNST	40.00
USGS	07182260	11	2014-07-15 12:51:00	CDT	Yes	Cd	USGS	1.91	172	0002		4.2	GOOD			CLER	MEAS	1	1	WADE	QSCMM	VADV	142	54.0	90.1	1.58	SOFT	BLDR	UNEV	STDY	UNEV	UNFM	DNST	90.00
USGS	07182260	11	2014-07-15 12:51:00	CDT	Yes	Cd	USGS	1.91	172	0002		4.2	GOOD			CLER	MEAS	2	2	WADE	QSCMM	VADV	30.3	23.8	18.7	1.62	SOFT	SILT	UNEV	STDY	UNEV	UNSP	DNST	45.00
USGS	07182260	12	2014-08-22 12:02:00	CDT	Yes	Cd	USGS	1.26	50.6	0002		1.2	GOOD			CLER	MEAS	1	1	WADE	QSCMM	VADV	49.8	39.8	45.7	1.09	FIRM	GRVL	UNEV	STDY	UNEV	UNSP	DNST	90.00
USGS	07182260	12	2014-08-22 12:02:00	CDT	Yes	Cd	USGS	1.26	50.6	0002		1.2	GOOD			CLER	MEAS	2	2	WADE	QSCMM	VADV	0.74	9.40	3.35	0.22	SOFT	GRVL	UNEV	STDY	UNEV	UNSP	DNST	40.00
USGS	07182260	13	2014-09-04 13:55:30	CDT	Yes	Cd	USGS	4.98	1350	0002		4.7	FAIR			CLER	MEAS	1	1	BRDS	QADCP	VADCP	1350	198	770	1.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	ATGA	0.00
USGS	07182260	14	2014-10-31 14:15:00	CDT	Yes	Cd/RSV	USGS	1.36	59.0	0002	-0.03	0.0	FAIR			LGDB	MEAS	1	1	WADE	QSCMM	VADV	58.2	42.4	52.6	1.11	SOFT	BLDR	UNEV	STDY	EVEN	STND	DNST	90.00
USGS	07182260	14	2014-10-31 14:15:00	CDT	Yes	Cd/RSV	USGS	1.36	59.0	0002	-0.03	0.0	FAIR			LGDB	MEAS	2	2	WADE	QSCMM	VADV	0.77		8.00		SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	90.00
USGS	07182260	15	2014-12-29 14:54:00	CST	Yes	RSV	USGS	1.52	79.8	0002	-0.03	-3.3	FAIR			LGDB	MEAS	1	1	WADE	QSCMM	VADV	74.1	33.5	39.6	1.87	SOFT	GRVL	UNEV	STDY	EVEN	STND	DNST	75.00
USGS	07182260	15	2014-12-29 14:54:00	CST	Yes	RSV	USGS	1.52	79.8	0002	-0.03	-3.3	FAIR			LGDB	MEAS	2	2	WADE	QSCMM	VADV	5.68	12.0	8.70	0.65	SOFT	SILT	UNEV	STDY	EVEN	UNFM	DNST	75.00
USGS	07182260	16	2015-02-25 13:47:30	CST	Yes	RSV	USGS	1.54	86.7	0002	-0.03	1.2	GOOD			CLER	MEAS	1	1	WADE	QSCMM	VADV	8.31	12.0	9.80	0.85	SOFT	SILT	EVEN	STDY	EVEN	STND	DNST	40.00
USGS	07182260	16	2015-02-25 13:47:30	CST	Yes	RSV	USGS	1.54	86.7	0002	-0.03	1.2	GOOD			CLER	MEAS	2	2	WADE	QSCMM	VADV	78.4	40.0	44.2	1.77	SOFT	SAND	EVEN	STDY	EVEN	STND	DNST	40.00
USGS	07182260	17	2015-05-05 15:21:30	CDT	Yes	AJP/MRM	USGS	2.54	357	0003		7.9	FAIR	0.00	0.50	CLER	MEAS	1	1	BRDS	QADCP	VADCP	282	89.7	169	1.67	FIRM	GRVL	UNEV	STDY	EVEN	STND	ATGA	0.00
USGS	07182260	17	2015-05-05 15:21:30	CDT	Yes	AJP/MRM	USGS	2.54	357	0003		7.9	FAIR	0.00	0.50	CLER	MEAS	2	2	BRDS	QADCP	VADCP	75.5	49.6	69.3	1.09	FIRM	GRVL	UNEV	STDY	EVEN	STND	ATGA	0.00
USGS	07182260	18	2015-05-18 13:05:30	CDT	Yes	Cd	USGS	22.48	14700	0003		0.7	FAIR				MEAS	1	1	BRDS	QADCP	VADCP	14700	270	4810	3.04	FIRM	GRVL	UNEV	PULS	EVEN	NSTD	ATGA	
USGS	07182260	19	2015-05-24 13:18:55	CDT	Yes	AJP/MRM	USGS	21.20	12700	0003		-0.8	FAIR	0.11	0.50	MDDB	MEAS	1	1	BRDS	QADCP	VADCP	12700	284	4580	2.77	FIRM	GRVL	UNEV	PULS	UNEV	NSTD	ATGA	
USGS	07182260	20	2015-05-25 10:58:44	CDT	Yes	TWS/DCM	USGS	24.50	17600	0003		-0.6	GOOD	0.02		CLER	MEAS	1	1	BRDS	QADCP	VADCP	17300	258	5130	3.38	FIRM	SILT	EVEN	STDY	EVEN	NSTD	DNST	40.00
