#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:36:43 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13147900 LITTLE WOOD RIVER AB HIGH FIVE CREEK NR CAREY ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13147900	1	1977-11-09		Yes	RAS	USGS		19.1				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.1	38.0	20.3	0.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	2	1977-12-15		Yes	RAS	USGS		107				Good	-0.04	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	107	42.0	49.3	2.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	3	1978-04-26		Yes	RAS	USGS		813				Poor	0.00	2.40		MEAS	1	Imported Channel 1	UNSP	other		813				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	196	1984-08-20		Yes	DMK/FWY	USGS	1.86	102				Unspecified	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	102	42.0	51.6	1.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	197	1984-10-01		Yes	DMK	USGS	1.75	79.8				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	79.8	45.0	36.0	2.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	198	1984-11-05		Yes	DMK	USGS	1.77	77.7				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	77.7	46.0	35.6	2.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	199	1985-02-20		Yes	ELY/FWY	USGS	1.62	65.8				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	65.8	38.0	28.9	2.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	200	1985-04-22		Yes	DMK	USGS	2.90	323				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	323	46.0	88.6	3.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	201	1985-06-03		Yes	DMK	USGS	2.16	164				Good	-0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	164	44.0	60.8	2.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	202	1985-07-24		Yes	RLB	USGS	1.30	50.0				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	50.0	39.0	29.8	1.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	203	1985-09-04		Yes	KLH/TSB	USGS	1.24	38.4				Good	0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	38.4	31.5	28.2	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	204	1985-10-08		Yes	TSB	USGS	1.63	65.4				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	65.4	39.0	36.1	1.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	205	1985-11-22		Yes	TSB	USGS	1.77	40.3				Poor	0.01	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	40.3	37.0	38.3	1.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	206	1986-01-07		Yes	TSB/RLB	USGS	2.48	52.5				Poor	0.01	0.40	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	52.5	38.0	63.8	0.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	207	1986-04-14		Yes	RLB/TSB	USGS	3.68	456				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	456	51.0	103	4.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	208	1986-04-24		Yes	TSB	USGS	4.28	781				Good	-0.02	0.90	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	781	56.0	148	5.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	209	1986-05-07		Yes	TSB	USGS	3.75	566				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	566	52.0	121	4.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	210	1986-05-30		Yes	RLB	USGS	5.16	1130				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1130	54.0	191	5.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13147900	211	1986-06-10		Yes	TSB	USGS	3.55	506				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	506	49.0	104	4.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
