#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:36:45 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13148500 LITTLE WOOD RIVER NR CAREY ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13148500	562	1983-05-13		Yes	RAS	USGS	4.75	969				Good	-0.01	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	969	46.0	178	5.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	563	1983-06-01		Yes	RWL/DL	USGS	6.02	1650				Unspecified	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1650	49.0	266	6.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	564	1983-06-15		Yes	RAS	USGS	4.39	752				Good	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	752	43.0	170	4.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	565	1983-07-19		Yes	ELY	USGS	3.22	393				Unspecified	0.00	0.80		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	393	41.5	126	3.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	566	1983-08-10		Yes	RWL	USGS	3.22	382				Good	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	382	42.0	123	3.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	570	1984-04-10		Yes	JTB	USGS	3.92	628				Good	0.02	1.20		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	628	42.0	154	4.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	571	1984-05-17		Yes	ELY	USGS	4.86	992				Good	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	992	45.5	202	4.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	572	1984-06-06		Yes	FWY	USGS	3.80	560				Good	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	560	44.0	146	3.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	573	1984-07-11		Yes	DMK	USGS	3.23	366				Good	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	366	43.0	118	3.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	575	1984-10-03		Yes	DMK	USGS	2.53	193				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	193	42.0	93.1	2.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	576	1984-11-05		Yes	DMK	USGS	0.83	3.82				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.82	35.0	18.3	0.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	577	1984-12-10		Yes	DMK	USGS	0.81	4.96				Poor	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.96	28.0	18.2	0.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	578	1985-01-28		Yes	DMK	USGS	0.92	8.35				Fair	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.35	34.0	18.5	0.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	579	1985-03-11		Yes	DMK	USGS	2.41	164				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	164	53.0	77.5	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	580	1985-04-22		Yes	DMK	USGS	1.67	53.3				Good	-0.01	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	53.3	40.0	45.8	1.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	581	1985-06-03		Yes	DMK	USGS	3.21	360				Good	-0.03	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	360	42.0	120	3.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	582	1985-07-24		Yes	RLB	USGS	2.69	232				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	232	45.0	113	2.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	583	1985-09-04		Yes	TSB/KLH	USGS	1.73	64.7				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	64.7	44.0	71.4	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	584	1985-10-08		Yes	TSB	USGS	1.00	9.70				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.70	37.0	27.2	0.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	585	1985-11-22		Yes	TSB	USGS	0.98	6.18				Poor	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	6.18	36.0	16.3	0.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	586	1986-01-07		Yes	TSB/RLB	USGS	0.87	4.56				Poor	0.00	0.40	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.56	27.0	27.6	0.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	587	1986-02-19		Yes	TSB/YAH	USGS	2.70	213				Fair	0.07	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	213	45.0	111	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	588	1986-04-02		Yes	TSB	USGS	4.16	689				Good	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	689	44.0	169	4.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	589	1986-05-01		Yes	tsb	USGS	3.64	500				Good			Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	500	44.0	144	3.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	590	1986-05-07		Yes	TSB	USGS	4.06	659				Good	0.05	0.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	659	44.0	165	3.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	591	1986-05-30		Yes	RLB	USGS	5.15	1160				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1160	46.0	220	5.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	592	1986-06-10		Yes	TSB	USGS	3.74	535				Good	-0.18	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	535	43.0	142	3.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	593	1986-07-22		Yes	TSB	USGS	3.28	374				Good	0.01	0.90	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	374	43.0	126	2.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	594	1986-09-10		Yes	MDC/TSB	USGS	2.27	133				Good	0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	133	46.0	95.3	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	595	1986-10-07		Yes	TSB	USGS	0.89	5.25				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.25	40.0	35.3	0.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	596	1986-11-13		Yes	TSB	USGS	1.00	7.02				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	7.02	41.0	40.0	0.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	597	1986-12-16		Yes	TSB	USGS	0.90	4.56				Good	0.00	0.40	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.56	39.0	33.9	0.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	598	1987-01-27		Yes	TSB	USGS	0.88	5.24				Good	0.00	0.40	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.24	40.0	35.5	0.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	599	1987-03-03		Yes	TSB	USGS	0.93	5.15				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.15	42.0	36.4	0.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	600	1987-04-08		Yes	MDC	USGS	1.80	70.3				Fair	0.15	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	70.3	45.0	71.6	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	601	1987-05-19		Yes	TSB	USGS	2.34	141				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	141	46.0	97.8	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	602	1987-06-30		Yes	TSB	USGS	2.92	257				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	257	46.0	126	2.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13148500	603	1987-08-18 09:21:00	MDT	Yes	MDC	USGS	2.32	143				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	143	48.0	105	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
