#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:37:15 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05428500 YAHARA RIVER AT EAST MAIN STREET AT MADISON, WI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05428500	1	2004-03-05 11:10:00	CST	Yes	DEH/TLH	USGS	4.38	51.9				POOR				MEAS	1	Unspecified	UNSP	QADCP	VADCP	51.9		146		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	2	2004-05-24 14:17:00	CDT	Yes	DEH/TLH	USGS	6.64	287.0				FAIR				MEAS	1	Unspecified	UNSP	QADCP	VADCP	287.0		280		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	3	2004-06-29 12:19:00	CDT	Yes	DEH/TLH	USGS	6.48	222.0				FAIR				MEAS	1	Unspecified	UNSP	QADCP	VADCP	222.0		288		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	4	2004-07-22 09:55:00	CDT	Yes	DEH/TLH	USGS	6.77	298.0				FAIR				MEAS	1	Unspecified	UNSP	QADCP	VADCP	298.0		300		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	5	2004-10-22 11:02:00	CDT	Yes	DEH/TLH	USGS	4.31	28.3				POOR				MEAS	1	Unspecified	UNSP	QADCP	VADCP	28.3		146		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	6	2005-02-03 11:03:00	CST	Yes	DEH/TLH	USGS	4.22	82.4				GOOD				MEAS	1	Unspecified	UNSP	QADCP	VADCP	82.4		144		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	7	2005-05-20 12:49:00	CDT	Yes	DEH/TLH	USGS	5.29	92.2				FAIR				MEAS	1	Unspecified	UNSP	QADCP	VADCP	92.2		212		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	8	2005-06-15 12:40:00	CDT	Yes	DEH/TLH	USGS	4.96	33.5				POOR				MEAS	1	Unspecified	UNSP	QADCP	VADCP	33.5		194		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	9	2005-11-17 08:19:00	CST	Yes	TLH/RKJ	USGS	4.96	154.0				GOOD				MEAS	1	Unspecified	UNSP	QADCP	VADCP	154.0		185		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	10	2006-03-30 10:41:00	CST	Yes	TLH	USGS	4.20	34.7				FAIR			LGDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	34.7		146		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	11	2006-07-21 13:24:00	CDT	Yes	TLH	USGS	5.51	94.1				POOR			MDDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	94.1	63.1	220	0.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	12	2006-08-15 10:28:00	CDT	Yes	DEH/TLH	USGS	5.28	55.6				FAIR			MDDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	55.6	58.7	220	0.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	13	2006-10-09 10:10:00	CDT	Yes	TLH	USGS	5.21	77.0				GOOD	0.00	0.18	MDDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	77.0	59.7	218	0.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	14	2006-11-07 12:52:00	CST	Yes	TLH/BME	USGS	5.48	319.0				GOOD	0.00	0.23	LGDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	319.0	99.5	395	0.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	15	2006-12-28 11:56:00	CST	Yes	DEH/BJS	USGS	4.48	91.5				FAIR	0.00	0.33	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	91.5	60.8	168	0.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	16	2007-03-16 12:05:00	CDT	Yes	DEH/TLH	USGS	4.57	103.8				GOOD	0.00	0.20	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	103.8	65.4	212	0.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	17	2007-04-09 10:39:00	CDT	Yes	DEH/TLH	USGS	5.53	282.0				GOOD			CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	282.0	60.9	228	1.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	18	2007-08-29 12:32:00	CDT	Yes	DLO/DEH	USGS	7.76	294.0				GOOD	0.00	0.32	HVDB	UNSP	1	Unspecified	UNSP	QADCP	VADCP	294.0	69.3	327	0.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05428500	19	2007-08-31 08:02:00	CDT	Yes	TLH	USGS	7.71	307.0				GOOD	0.00	0.25	HVDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	307.0	64.1	321	0.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
