#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:37:16 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05429500 YAHARA RIVER AT MC FARLAND, WI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05429500	29	1933-04-12		Yes	DO	USGS	5.05	493				GOOD			UNSP	MEAS	1		UNSP	QSCMM		493	60.0	189	2.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05429500	31	1933-04-28		Yes	Soule	USGS	4.73	414				GOOD			UNSP	MEAS	1		UNSP	QSCMM		414	58.5	163	2.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05429500	32	1933-05-09		Yes	Yonker	USGS	5.08	492				GOOD			UNSP	MEAS	1		UNSP	QSCMM		492	60.0	187	2.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05429500	33	1933-05-22		Yes	DO	USGS	5.88	634				GOOD			UNSP	MEAS	1		UNSP	QSCMM		634	60.0	238	2.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05429500	34	1933-06-01		Yes	DO	USGS	5.66	548				GOOD			UNSP	MEAS	1		UNSP	QSCMM		548	60.0	226	2.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05429500	76	1937-03-08		Yes	DO	USGS	5.95	644				GOOD			UNSP	MEAS	1		UNSP	QSCMM		644	60.0	235	2.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05429500	77	1937-03-22		Yes	DO	USGS	5.92	645				GOOD			UNSP	MEAS	1		UNSP	QSCMM		645	60.0	238	2.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05429500	78	1937-04-13		Yes	DO	USGS	5.16	437				FAIR			UNSP	MEAS	1		UNSP	QSCMM		437	58.0	198	2.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05429500	93	1938-02-14		Yes	MSS	USGS	5.67	482				GOOD			LGDB	MEAS	1		UNSP	QSCMM		482	60.0	217	2.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05429500	94	1938-03-21		Yes	MSS	USGS	5.58	464				GOOD			LGDB	MEAS	1		UNSP	QSCMM		464	60.0	213	2.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05429500	100	1938-09-16		Yes	FCC	USGS	5.26	415				GOOD			LGDB	MEAS	1		UNSP	QSCMM		415	60.0	202	2.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05429500	166	1944-03-23		Yes	Miller	USGS	5.10	451				GOOD			UNSP	MEAS	1		UNSP	QSCMM		451	83.0	182	2.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05429500	187	1946-03-20		Yes	Becker	USGS	5.54	609				GOOD			UNSP	MEAS	1		UNSP	QSCMM		609	83.0	205	2.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
