#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:37:23 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12484500 YAKIMA RIVER AT UMTANUM, WA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12484500	179	1948-09-16 12:50:00	PDT	Yes	ELS	USGS	31.80	2170				Good	0.00	1.80	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	2170	197	864	2.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	180	1948-10-06 14:00:00	PDT	Yes	LEY	USGS	30.94	1110				Good	0.01	2.00	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	1110	195	723	1.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	181	1948-10-19 15:20:00	PDT	Yes	ELS	USGS	30.54	694				Good	-0.02	1.30	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	694	195	618	1.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	182	1948-11-12 11:10:00	PDT	Yes	JCI	USGS	30.24	481				Good	0.00	1.50	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	481	194	573	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	183	1948-12-31 11:50:00	PDT	Yes	WMD	USGS	32.33	3250				Good	0.00	1.20	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	3250	200	1010	3.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	184	1949-03-11 13:15:00	PST	Yes	LEY	USGS	32.28	3050				Good	0.00	1.00	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	3050	198	968	3.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	185	1949-04-07 10:00:00	PST	Yes	LEY	USGS	33.62	6270				Good	0.00	1.50	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	6270	206	1270	4.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	186	1949-04-27 13:30:00	PST	Yes	EG/ELS	USGS	32.95	4580				Good	0.00	2.30	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	4580	198	1130	4.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	187	1949-05-05 15:20:00	PST	Yes	LEY	USGS	32.32	3050				Good	-0.01	1.20	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	3050	200	962	3.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	188	1949-05-14 09:45:00	PST	Yes	LEY	USGS	34.36	8370				Good	0.01	1.50	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	8370	208	1360	6.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	189	1949-05-23 15:15:00	PST	Yes	EG	USGS	33.38	5690				Good	-0.05	2.00	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	5690	203	1190	4.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	190	1949-06-14 13:45:00	PST	Yes	EG	USGS	33.44	5830				Good	-0.03	2.00	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	5830	205	1200	4.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	191	1949-06-17 09:30:00	PST	Yes	LEY	USGS	33.24	5230				Unspecified	0.00	1.20	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	5230	200	1090	4.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	192	1949-07-11 12:50:00	PST	Yes	EG/ELS	USGS	31.90	2350				Good	-0.01	2.00	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	2350	197	866	2.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	193	1949-08-10 15:30:00	PST	Yes	CA	USGS	32.21	2950				Good	0.01	1.50	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	2950	198	927	3.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	194	1949-08-30 15:00:00	PST	Yes	EG	USGS	32.32	3280				Good	-0.02	2.00	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	3280	198	970	3.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	195	1949-10-26 10:25:00	PST	Yes	CRL	USGS	32.36	3230				Excellent	0.00	1.20	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	3230	201	926	3.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	196	1949-11-17 10:35:00	PST	Yes	ELS	USGS	31.29	1500				Good	0.00	2.00	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	1500	198	738	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	197	1949-12-07 14:45:00	PST	Yes	DGA	USGS	31.90	2380				Excellent	0.00	1.30	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	2380	197	860	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	198	1950-01-24 14:30:00	PST	Yes	EG/ZKH	USGS	11.13	887				Poor	0.10	2.00	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	887	197	741	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	199	1950-02-23 11:25:00	PST	Yes	CRL	USGS	30.92	1090				Good	0.00	1.30	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	1090	161	590	1.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	200	1950-03-15 13:45:00	PST	Yes	EG/ELS	USGS	31.63	1950				Good	-0.01	1.60	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	1950	197	804	2.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	201	1950-04-11 12:45:00	PST	Yes	DWL	USGS	32.30	3030				Good	0.00	1.20	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	3030	195	902	3.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	202	1950-05-18 16:30:00	PDT	Yes	EG	USGS	33.86	6680				Good	-0.03	1.50	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	6680	210	1270	5.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	203	1950-05-19 10:30:00	PDT	Yes	PGS	USGS	33.74	6580				Good	-0.01	1.50	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	6580	205	1250	5.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	204	1950-06-06 11:50:00	PDT	Yes	CRL	USGS	33.74	6450				Good	-0.03	1.30	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	6450	200	1170	5.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	205	1950-06-14 09:20:00	PDT	Yes	PGS	USGS	33.77	6870				Good	0.03	1.60	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	6870	206	1220	5.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	206	1950-06-24 14:50:00	PDT	Yes	PGS	USGS	34.02	7720				Good	-0.01	1.40	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	7720	208	1280	6.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	207	1950-06-30 11:30:00	PDT	Yes	EG	USGS	34.18	7630				Good	0.04	2.30	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	7630	208	1290	5.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	208	1950-07-17 12:30:00	PDT	Yes	EG	USGS	32.08	2600				Good	0.00	2.20	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	2600	198	856	3.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	209	1950-08-17 11:35:00	PDT	Yes	HBK	USGS	32.25	2970				Good	-0.02	1.20	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	2970	198	876	3.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	210	1950-09-21 11:55:00	PDT	Yes	ELS	USGS	32.30	3200				Good	0.00	1.50	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	3200	198	913	3.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	211	1950-10-17 16:00:00	PST	Yes	DWL/ELS	USGS	31.83	2380				Good	0.00	1.20	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	2380	197	820	2.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	212	1950-12-01 14:15:00	PST	Yes	EG	USGS	32.09	2770				Good	0.00	2.10	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	2770	200	874	3.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	213	1950-12-05 14:40:00	PST	Yes	EGP	USGS	31.72	2160				Fair	0.00	1.30	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	2160	200	796	2.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12484500	214	1951-01-17 14:50:00	PST	Yes	EG/ELS	USGS	32.15	2800				Good	0.00	1.30	Unspecifed	UNSP	1	Imported Channel 1	CWAY	QSCMM	VPAA	2800	198	876	3.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
