#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:37:24 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12487000 YAKIMA RIVER AT SELAH GAP NEAR NORTH YAKIMA, WA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12487000	1M	1897-05-19		Yes	ADM	USGS		13900				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		13900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	2M	1897-05-26		Yes	ADM	USGS		7420				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		7420				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	3M	1897-06-10		Yes	ADM	USGS		4860				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		4860				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	4M	1897-06-18		Yes	ADM	USGS		3180				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3180				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	5M	1897-07-03		Yes	ADM	USGS		3640				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3640				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	6M	1897-07-08		Yes	ADM	USGS		2300				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	7M	1897-07-17		Yes	ADM	USGS		1750				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1750				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	8M	1897-07-29		Yes	ADM	USGS		1020				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1020				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	9M	1897-08-13		Yes	ADM	USGS		810				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		810				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	10M	1903-07-21		Yes	ADM	USGS		5050				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		5050				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	11M	1903-09-16		Yes	ADM	USGS		1660				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1660				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	12M	1904-05-05		Yes	ADM	USGS		6740				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		6740				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	13M	1904-07-13		Yes	ADM	USGS		2610				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2610				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	14M	1904-07-25		Yes	ADM	USGS		1360				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1360				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	15M	1904-07-30		Yes	ADM	USGS		1120				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1120				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	16M	1904-08-17		Yes	ADM	USGS		556				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		556				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	17M	1904-09-01		Yes	ADM	USGS		444				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		444				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	18M	1910-08-22		Yes	ADM	USGS		945				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		945				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	19M	1910-09-03		Yes	ADM	USGS		599				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		599				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	20M	1910-09-19		Yes	ADM	USGS		430				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		430				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	21M	1911-06-21		Yes	ADM	USGS		2740				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2740				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	22M	1911-07-14		Yes	ADM	USGS		1280				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1280				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	23M	1911-08-24		Yes	ADM	USGS		698				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		698				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	24M	1911-08-30		Yes	ADM	USGS		678				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		678				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	25M	1911-09-19		Yes	ADM	USGS		934				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		934				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	26M	1911-09-26		Yes	ADM	USGS		781				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		781				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	27M	1911-10-10		Yes	ADM	USGS		750				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		750				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	28M	1911-10-20		Yes	ADM	USGS		595				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		595				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12487000	29M	1911-11-02		Yes	ADM	USGS		395				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		395				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
