#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:37:47 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09237450 YAMPA RIVER ABOVE STAGECOACH RESERVOIR, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09237450	1	1988-10-04 14:00:00	MDT	Yes	RGC	USGS	2.46	49.7	 1.0	-0.120		GOOD	0.00	0.33	CLER	MEAS	1	Unspecified	WADE	QUNSP		49.7	32.0	25.2	1.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09237450	2	1988-11-09 09:35:00	MST	Yes	RGC	USGS	2.45	47.4	 1.0	-0.120		GOOD	0.00	0.33	CLER	MEAS	1	Unspecified	WADE	QUNSP		47.4	41.0	28.1	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09237450	3	1988-12-13 09:55:00	MST	Yes	RGC	USGS	3.68	45.9	 1.0			FAIR	0.04	0.33	CICE	MEAS	1	Unspecified	WADE	QUNSP		45.9	32.0	50.2	0.910	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09237450	4	1989-01-03 10:10:00	MST	Yes	RGC	USGS	3.70	40.8				FAIR	0.00	0.42	CICE	MEAS	1	Unspecified	ICE	QSCMM		40.8	30.0	27.4	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09237450	5	1989-02-14 11:00:00	MST	Yes	RGC	USGS		35.7				FAIR			CICE	MEAS	1	Unspecified	ICE	QSCMM		35.7	23.0	19.9	1.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09237450	6	1989-03-21 12:05:00	MST	Yes	RGC	USGS	2.37	54.6	 1.0	0.00	0.550	GOOD	0.01	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		54.6	40.0	28.7	1.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09237450	7	1989-03-23 12:00:00	MST	Yes	RGC	USGS	2.58	91.7	 1.0	0.00	3.50	GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		91.7	42.0	34.5	2.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09237450	8	1989-04-19 12:35:00	MDT	Yes	RGC/RWT	USGS	3.00	164.0	 1.0	0.00	0.00	UNSP	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		164.0	45.0	48.4	3.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09237450	9	1989-04-26 13:50:00	MDT	Yes	JRD/RWB	USGS	2.64	97.4	 1.0	0.00	-1.40	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		97.4	36.0	54.4	1.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
