#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:37:50 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09240020 YAMPA RIVER BELOW SODA CREEK AT STEAMBOAT SPGS, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09240020	1	2008-05-08 12:07:00	MDT	Yes	jbf	USGS	5.61	1880	 1.0	0.00	-0.4	FAIR	0.02	1.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1880	71.0	324	5.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09240020	2	2008-06-12 12:20:00	MDT	Yes	KLM	USGS	6.10	2420	 1.0	0.00	0.6	POOR	0.00	1.00	CLER	OTHR	1	Unspecified	CRAN	QUNSP		2350	76.0	371	6.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09240020	3	2008-07-10 13:15:00	MDT	Yes	KLM	USGS	4.07	672.0	 1.0	0.00	0.3	FAIR	-0.01	0.70	CLER	MEAS	1	Unspecified	CRAN	QUNSP		672.0	65.0	220	3.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09240020	4	2008-07-30 11:33:00	MDT	Yes	KLM	USGS	2.96	197.0	 1.0	0.00	-0.8	FAIR	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		197.0	74.0	106	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09240020	5	2008-09-09 10:22:00	MDT	Yes	KLM	USGS	2.45	87.4	 1.0	0.00	-1.8	FAIR	0.00	0.70	ALGA	MEAS	1	Unspecified	WADE	QUNSP		87.4	74.0	77.3	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09240020	6	2008-12-17 10:49:30	MST	Yes	KLM	USGS	2.53	98.9	 1.0	0.00	-3.6	FAIR	0.04	0.65	MALT	UNSP	1		WADE	QSCMM	VPYG	98.9	75.0	89.4	1.11	FIRM	BLDR	UNEV	STDY	EVEN	UNSP	DNST	80
USGS	09240020	7	2009-02-09 10:00:00	MST	Yes	KLM	USGS	2.71	145	 1.0	0.00	5.2	FAIR	0.01	0.50	CLER	UNSP	1		WADE	QSCMM	VPAA	145	75.0	99.6	1.45	FIRM	BLDR	UNEV	STDY	UNEV	UNSP	DNST	75
USGS	09240020	8	2009-04-08 10:03:00	MDT	Yes	KLM	USGS	3.07	240	 1.0	0.00	4.4	FAIR	0.00	1.00	CLER	UNSP	1		WADE	QSCMM	VPAA	240	81.0	128	1.88	FIRM	BLDR	UNEV	STDY	EVEN	UNSP	DNST	100
USGS	09240020	9	2009-05-07 10:49:00	MDT	Yes	KLM	USGS	5.40	1730	 2.0	0.00	0.7	FAIR	-0.01	0.97	CLER	UNSP	1		BRDS	QSCMM	VPAA	1730	70.0	321	5.38	FIRM	BLDR	UNEV	STDY	UNEV	UNSP	ATGA	0.00
