#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:37:52 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09244410 YAMPA RIVER BELOW DIVERSION, NEAR HAYDEN, CO.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09244410	225	1983-09-06		Yes	EAW	USGS	3.54	315.0	 5.0	-0.190		GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		315.0	146	223	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09244410	226	1983-10-06		Yes	EAW	USGS	3.64	373.0	 5.0	-0.170		FAIR	0.01	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		373.0	143	255	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09244410	227	1983-11-07		Yes	MPM/THH	USGS	3.43	267.0	 5.0	-0.170		GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		267.0	155	172	1.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09244410	228	1983-12-16		Yes	MPM	USGS	4.63	333.0	 5.0			FAIR	-0.04	2.50	SICE	MEAS	1	Unspecified	ICE	QSCMM		333.0	109	111	3.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09244410	229	1984-03-02		Yes	MPM	USGS	4.81	231.0	 5.0			FAIR			CICE	MEAS	1	Unspecified	ICE	QSCMM		231.0	128	135	1.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09244410	230	1984-04-04		Yes	MPM	USGS	3.53	324.0	 5.0	-0.160		FAIR	0.01	2.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		324.0	158	187	1.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09244410	231	1984-05-04		Yes	MPM	USGS	6.32	3050	 5.0	0.00	-3.00	FAIR	-0.04	1.60	CLER	MEAS	1	Unspecified	CWAY	QUNSP		3050	157	578	5.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09244410	232	1984-05-16		Yes	EAW/RLT	USGS	11.24	13080	 5.0	0.00	4.00	GOOD	-0.06	2.24	CLER	MEAS	1	Unspecified	CWAY	QUNSP		13080	175	1490	8.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09244410	233	1984-06-11		Yes	MPM	USGS	8.19	6610	 5.0	0.250	0.00	FAIR	-0.01	2.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		6610	16.8	1020	6.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
