#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:38:00 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02206500 YELLOW RIVER NEAR SNELLVILLE, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02206500	1	1942-09-25		Yes	BEC	USGS	0.90	25.3		0.00	1.20	UNSP	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		25.3	51.0	76.3	0.330	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	2	1942-10-12		Yes	ELH	USGS	1.04	36.9		0.00	-1.30	GOOD	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		36.9	51.0	86.6	0.430	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	3	1942-11-16		Yes	ELH	USGS	1.15	50.5		0.00	-1.00	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		50.5	52.0	91.6	0.550	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	4	1942-12-08		Yes	ELH	USGS	4.60	1060		0.00	0.00	GOOD	-0.09	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1060	61.0	303	3.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	5	1942-12-09		Yes	JFG	USGS	2.26	283.0		0.00	-0.400	GOOD	-0.04	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		283.0	53.0	119	2.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	6	1943-01-06		Yes	AMV	USGS	2.27	289.0		0.00	0.700	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		289.0	53.0	121	2.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	7	1943-01-06		Yes	ELH	USGS	1.60	127.0		0.00	0.00	GOOD	-0.01	1.20	CLER	MEAS	1	Unspecified	WADE	QUNSP		127.0	53.0	98.4	1.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	8	1943-01-19		Yes	MRW	USGS	10.53	2860		0.00	0.00	GOOD	-0.22	0.90	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2860	79.0	754	3.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	9	1943-03-20		Yes	MRW	USGS	6.72	1770		0.00	0.00	GOOD	0.52	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1770	64.0	436	4.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	10	1943-04-24		Yes	ELH	USGS	2.36	301.0		0.00	-3.50	GOOD	-0.01	0.90	CLER	MEAS	1	Unspecified	CRAN	QUNSP		301.0	54.0	142	2.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	11	1943-06-05		Yes	ELH	USGS	1.36	85.3		0.00	2.00	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		85.3	53.0	108	0.790	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	12	1943-07-27		Yes	ELH	USGS	1.35	83.9		0.00	0.400	GOOD	-0.01	1.10	CLER	MEAS	1	Unspecified	WADE	QUNSP		83.9	53.0	118	0.710	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	13	1943-08-30		Yes	ELH	USGS	2.25	294.0		0.00	4.60	GOOD	-0.06	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		294.0	53.0	146	2.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	14	1943-10-25		Yes	ELH	USGS	1.19	55.5		0.00	-1.90	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		55.5	51.0	96.5	0.580	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	15	1943-12-09		Yes	FLW	USGS	1.28	64.5		0.00	-4.00	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		64.5	63.0	125	0.520	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	16	1944-01-22		Yes	MRW	USGS	1.51	103.0		0.00	-2.80	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		103.0	51.0	112	0.920	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	17	1944-02-15		Yes	ELH	USGS	3.26	591.0		0.00	0.900	GOOD	-0.07	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		591.0	57.0	218	2.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	18	1944-03-29		Yes	MRW	USGS	8.31	2040		0.00	-4.70	GOOD	0.06	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2040	68.0	547	3.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	19	1944-05-13		Yes	MRW	USGS	1.71	148.0		0.00	0.00	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		148.0	53.0	119	1.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	20	1944-07-18		Yes	WHC	USGS	1.12	47.8		0.00	4.80	GOOD	0.00	1.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		47.8	53.0	90.5	0.530	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	21	1944-08-19		Yes	WHC	USGS	1.01	34.8		0.00	2.40	GOOD	0.00	1.30	CLER	MEAS	1	Unspecified	WADE	QUNSP		34.8	53.0	82.7	0.420	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	22	1944-09-09		Yes	MRW	USGS	0.83	20.8		0.00	0.00	GOOD	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		20.8	48.0	67.9	0.310	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	23	1944-10-22		Yes	WHC	USGS	1.03	35.3		-0.020	3.80	GOOD	0.00	1.20	CLER	MEAS	1	Unspecified	WADE	QUNSP		35.3	52.0	88.8	0.400	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	24	1944-11-29		Yes	WHC	USGS	1.46	93.2		-0.020	0.00	GOOD	0.00	1.10	CLER	MEAS	1	Unspecified	WADE	QUNSP		93.2	53.0	108	0.860	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	25	1945-01-06		Yes	WHC	USGS	1.46	89.7		-0.020	-3.80	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		89.7	52.0	110	0.820	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	26	1945-02-14		Yes	WHC	USGS	3.08	515.0		0.00	-2.50	GOOD	0.09	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		515.0	56.0	198	2.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	27	1945-03-19		Yes	WHC	USGS	1.56	116.0		0.00	0.00	GOOD	0.00	1.30	CLER	MEAS	1	Unspecified	WADE	QUNSP		116.0	52.0	123	0.940	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	28	1945-04-21		Yes	WHC	USGS	1.36	84.2		0.020	1.70	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		84.2	52.0	126	0.670	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	29	1945-05-26		Yes	WHC	USGS	1.55	113.0		0.00	-0.900	GOOD	0.02	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		113.0	53.0	104	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	30	1945-06-28		Yes	GTC	USGS	1.10	43.9		0.00	2.10	FAIR	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		43.9	53.0	100	0.440	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	31	1945-07-23		Yes	WHC	USGS	1.24	62.3		0.00	1.10	GOOD	0.00	1.10	CLER	MEAS	1	Unspecified	WADE	QUNSP		62.3	58.0	84.5	0.740	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	32	1945-09-08		Yes	WHC	USGS	0.91	26.8		0.00	3.90	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		26.8	52.0	71.8	0.370	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	33	1945-10-09		Yes	WHC	USGS	1.02	36.2		0.00	3.40	GOOD	0.00	1.20	CLER	MEAS	1	Unspecified	WADE	QUNSP		36.2	52.0	94.6	0.380	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	34	1945-11-19		Yes	WHC	USGS	1.20	52.0		0.00	-7.10	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		52.0	51.0	101	0.520	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	35	1945-12-17		Yes	WHC	USGS	1.53	111.0		0.00	0.900	FAIR	0.00	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		111.0	53.0	97.3	1.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	36	1946-01-18		Yes	WHC	USGS	2.68	396.0		0.00	-2.00	GOOD	-0.01	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		396.0	55.0	155	2.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	37	1946-03-15		Yes	AEH	USGS	2.52	368.0		0.00	3.10	FAIR	-0.01	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		368.0	56.0	196	1.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	39	1946-03-29		Yes	AEH	USGS	13.22	3920		0.00	-1.30	GOOD	-0.18	1.60	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3920	99.0	1040	3.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	38	1946-03-29		Yes	WHC	USGS	11.60	3710		0.00	12.0	GOOD	0.38	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3710	90.0	876	4.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	40	1946-04-12		Yes	AEH	USGS	2.72	409.0		0.00	-1.70	GOOD	-0.03	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		409.0	56.0	194	2.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	41	1946-05-10		Yes	AEH	USGS	1.75	158.0		0.00	0.00	GOOD	0.00	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		158.0	55.0	110	1.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	42	1946-06-07		Yes	AEH	USGS	1.50	103.0		0.00	-1.00	GOOD	0.00	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		103.0	53.0	126	0.820	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02206500	43	1946-07-25		Yes	AEH	USGS	1.19	55.4		0.00	1.30	FAIR	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		55.4	53.0	111	0.500	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
