#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:38:03 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02207220 YELLOW RIVER AT PLEASANT HILL ROAD, NR LITHONIA,GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02207220	1	2002-12-30 10:30:00	EST	Yes	DPS	USGS	3.56	333.0	 1.0	0.00	2.10	GOOD	0.02	1.70	CLER	MEAS	1	Unspecified	CRAN	QUNSP		333.0	80.0	345	0.960	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	2	2003-01-15 14:18:00	EST	Yes	DPS	USGS	2.86	237.0	 1.0	0.00	-2.20	GOOD	0.02	1.40	CLER	MEAS	1	Unspecified	CRAN	QUNSP		237.0	82.0	356	0.666	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	3	2003-02-07 13:00:00	EST	Yes	DPS	USGS	6.08	978.0	 1.0	0.00	1.30	POOR	-0.18	1.60	CLER	MEAS	1	Unspecified	CRAN	QUNSP		978.0	90.0	663	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	4	2003-03-03 13:15:00	EST	Yes	DPS	USGS	3.44	295.0	 1.0	0.00	-3.40	FAIR	0.01	1.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		295.0	83.0	380	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	5	2003-03-06 15:05:00	EST	Yes	CDF	USGS	13.64	4520	 1.0	0.00	-1.70	FAIR	-0.14	0.90	CLER	MEAS	1	Unspecified	CRAN	QUNSP		4520	198	1430	3.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	6	2003-03-20 10:45:00	EST	Yes	WPB/ACD	USGS	14.77	5790	 1.0	0.00	2.30	FAIR	-0.41	1.40	CLER	MEAS	1	Unspecified	CRAN	QUNSP		5790	202	1710	3.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	7	2003-05-06 08:55:00	EDT	Yes	RTN/ACD	USGS	14.60	5280	 1.0	0.00	-3.80	FAIR	-0.27	1.10	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		5280	202	1710	3.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	8	2003-05-07 09:23:00	EDT	Yes	WPB/DS	USGS	15.95	6730	 1.0	0.00	-3.10	GOOD	-0.18	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		6730	206	1870	3.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	9	2003-06-26 09:50:00	EDT	Yes	WPB/ACD	USGS	3.46	311.0	 1.0	0.00	0.800	FAIR	-0.01	0.42	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		311.0	82.0	341	0.910	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	10	2003-08-08 11:20:00	EDT	Yes	BLC/DPS	USGS	4.68	622.0	 1.0	0.00	6.50	FAIR	-0.14	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		622.0	86.0	621	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	11	2003-10-01 13:15:00	EDT	Yes	DPS/SRS	USGS	2.39	199.0	 2.0	0.00	-3.10	FAIR	0.02	1.60	CLER	MEAS	1	Unspecified	CRAN	QUNSP		199.0	82.0	343	0.580	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	12	2003-12-03 12:10:00	EST	Yes	ACD/DPS	USGS	2.82	236.0	 2.0	-0.160	-0.400	UNSP	-0.01	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		236.0	83.0	308	0.766	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	13	2004-03-01 09:00:00	EST	Yes	BLC/DPS	USGS	3.30	374.0	 2.0	0.00	7.80	FAIR	-0.01	1.05	CLER	MEAS	1	Unspecified	CRAN	QUNSP		374.0	78.0	426	0.880	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	14	2004-03-29 13:09:00	EST	Yes	TJN/ACD	USGS	2.54	223.0	 2.0	0.00	2.80	FAIR	0.06	1.00	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		223.0	80.0	381	0.580	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	15	2004-07-07 11:20:00	EDT	Yes	DPS/JTF	USGS	2.72	213.0	 2.0	-0.100	-7.40	FAIR	-0.05	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		213.0	81.0	382	0.558	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	16	2004-10-06 10:45:00	EDT	Yes	jjj/jkj	USGS	2.52	218.2	 2.1	0.120	0.00	FAIR	0.01	0.75	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		218.2	90.0	347	0.628	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	17	2004-12-07 12:41:00	EST	Yes	jkj/dps	USGS	5.63	819.0	 2.1	0.00	-1.10	FAIR	-0.09	0.75	LGDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	819.0	93.0	731	1.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	18	2005-01-14 12:45:00	EST	Yes	jkj/kmc	USGS	8.13	1640	 2.1	0.070	0.00	FAIR	-0.04	0.25	LGDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	1640	91.1	1070	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	19	2005-03-29 12:31:00	EST	Yes	dps/jkj	USGS	8.58	1750	 2.1	0.00	-1.70	FAIR	-0.15	0.37		MEAS	1	Unspecified	UNSP	QADCP	VADCP	1750	95.7	1040	1.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	20	2005-06-29 12:23:00	EDT	Yes	jkj/jsf	USGS	2.26	170.0	 2.1	0.00	3.00	FAIR	0.00	0.10	MDDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	170.0	89.6	441	0.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	21	2005-07-05 14:08:00	EDT	Yes	jkj/dps	USGS	2.75	278.0	 2.1	0.00	19.0	POOR	0.05	0.33	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	278.0	92.6	485	0.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	22	2005-07-07 15:33:00	EDT	Yes	jkj/kmc	USGS	16.06	6910	 2.1	0.00	-2.40	POOR	-0.19	0.50	SUBM	MEAS	1	Unspecified	UNSP	QADCP	VADCP	6910	213	2380	2.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	23	2005-08-04 12:26:00	EDT	Yes	dps/jsf	USGS	2.40	197.0	 2.1	0.070	1.00	FAIR	-0.02	0.67	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	197.0	76.0	96.6	2.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	24	2005-09-20 11:05:00	EDT	Yes	KMC	USGS	1.82	118.0	 2.1	0.070	0.800	FAIR	0.00	1.10		MEAS	1	Unspecified	WADE	QUNSP		118.0	73.0	164	0.720	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	25	2005-10-05 09:51:00	EDT	Yes	kmc	USGS	1.70	89.6	 2.1	-0.050	-0.300	POOR	0.00	0.73	MDDB	MEAS	1	Unspecified	WADE	QSCMM	VADV	89.6	74.0	160	0.560	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	26	2006-02-23 12:38:00	EST	Yes	JKJ/DPS	USGS	10.51	2690	 2.1	0.00	3.90	GOOD	-0.02	0.42		MEAS	1	Unspecified	UNSP	QADCP	VADCP	2690	107	1350	1.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	27	2006-03-21 12:25:00	EST	Yes	jkj/kmc	USGS	9.34	2130	 2.1	0.00	2.70	FAIR	0.00	0.50		MEAS	1	Unspecified	UNSP	QADCP	VADCP	2130	100	1220	1.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	28	2006-04-05 11:42:00	EDT	Yes	KMC	USGS	2.58	208.0	 2.1	0.00	-1.00	FAIR	0.00	1.00		MEAS	1	Unspecified	WADE	QUNSP		208.0	78.0	128	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	29	2006-05-22 10:35:00	EDT	Yes	LGS/KMC	USGS	1.97	145.6	 2.1	0.140	0.300	POOR	0.00	1.66	MDDB	MEAS	1	Unspecified	WADE	QUNSP		145.6	68.3	89.1	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	30	2006-06-26 11:40:00	EDT	Yes	jkj/jsf	USGS	5.79	986.0	 2.1	0.300	3.08	FAIR	-0.06	0.50	HVDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	986.0	92.9	849	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	31	2006-09-07 15:12:00	EDT	Yes	KMC	USGS	1.75	109.0	 2.1	0.060	0.300	UNSP	0.00	0.60	LGDB	MEAS	1	Unspecified	WADE	QUNSP		109.0	68.0	79.8		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	32	2006-10-03 09:40:00	EDT	Yes	jkj	USGS	1.59	90.0	 3.0	0.060	-0.900	POOR	0.00	0.70	MDDB	MEAS	1	Unspecified	WADE	QSCMM	VADV	90.0	67.0	75.9	1.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	33	2006-12-07 10:46:00	EST	Yes	jkj/jsf	USGS	1.96	129.0	 3.0	0.00	-3.50	FAIR	0.00	0.30	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	129.0	86.8	495	0.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	34	2007-03-21 10:30:00	EDT	Yes	jsf/jkj	USGS	2.07	177.0	 3.0	0.180	-0.100	FAIR	0.00	0.75	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	177.0	85.8	535	0.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	35	2007-07-16 10:24:00	EDT	Yes	jkj/jsf	USGS	2.62	276.0	 3.0	0.180	4.90	POOR	-0.03	0.65		MEAS	1	Unspecified	UNSP	QADCP	VADCP	276.0	90.2	571	0.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	36	2007-08-13 10:48:00	EDT	Yes	jkj/jsf	USGS	1.26	33.8	 3.0	-0.040	-7.90	POOR	0.01	0.80		MEAS	1	Unspecified	UNSP	QADCP	VADCP	33.8	86.3	450	0.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	37	2007-09-13 12:08:00	EDT	Yes	jkj/jsf	USGS	1.30	51.4	 3.0	0.060	0.00	POOR	0.00	0.33	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	51.4	91.1	462	0.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	38	2007-10-02 11:06:00	EDT	Yes	jkj/jsf	USGS	1.14	37.5	 3.0	0.06	7.8	POOR	0.00	0.33	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	37.5	88.1	440	0.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	39	2007-12-12 13:18:00	EST	Yes	jsf	USGS	1.45	66.4	 3.0	0.03	0.3	FAIR	0.00	0.83	LGDB	MEAS	1	Unspecified	WADE	QSCMM	VADV	66.4	85.0	173	0.382	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	40	2008-05-05 10:13:00	EDT	Yes	jsf/jkj	USGS	1.80	131.0	 3.1	0.00	0.4	POOR	0.00	0.50	MDDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	131.0	93.0	599	0.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	41	2008-06-16 10:00:00	EDT	Yes	jsf/mas	USGS	2.77	329.0	 3.1	0.00	-0.1	POOR	0.14	1.25	LGDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	329.0	84.1	646	0.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	42	2008-08-26 19:18:00	EDT	Yes	jsf/jkj	USGS	7.48	1651	 3.1	0.00	-0.3	FAIR	0.01	0.10	LGDB	MEAS	1	Unspecified	UNSP	QADCP	VADCP	1651	111	1140	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	43	2008-10-15 13:33:30	EDT	Yes	jsf	USGS	1.33	54.8	 4.0	0.00	-6.0	POOR	0.00	0.62	UNSP	UNSP	1		WADE	QSCMM	VADV	54.8	78.0	147	0.37	FIRM	SAND	UNEV	UNSP	UNSP	UNSP	DNST	300
USGS	02207220	44	2008-12-11 11:11:30	EST	Yes	jsf/jkj	USGS	9.27	2090	 4.0	0.00	-1.4	POOR	0.08	0.45	LGDB	UNSP	1		MBOT	QADCP	VADCP	2090	107	1340	1.56	FIRM	SAND	UNEV	UNSP	UNSP	UNSP	DNST	50
USGS	02207220	45	2009-03-30 10:38:30	EDT	Yes	jsf/btr	USGS	5.41	1020	 4.0	0.00	10.2	POOR	0.08	0.38	LGDB	UNSP	1		MBOT	QADCP	VADCP	1020	101	754	1.36	FIRM	SAND	UNEV	UNSP	UNSP	UNSP	DNST	60
USGS	02207220	46	2009-06-24 10:50:00	EDT	Yes	jsf	USGS	1.47	76.1	 4.0	0.00	-1.4	POOR	0.00	1.17	CLER	UNSP	1		WADE	QSCMM	VADV	76.1	75.0	168	0.45	FIRM	SAND	UNEV	UNSP	UNSP	UNSP	DNST	500
USGS	02207220	47	2009-09-03 14:29:30	EDT	Yes	jsf	USGS	1.82	128	 4.0	0.00	-4.5	POOR	0.03	1.52	MDDB	UNSP	1		WADE	QSCMM	VADV	128	74.0	195	0.66	FIRM	SAND	UNEV	UNSP	UNSP	UNSP	DNST	500
USGS	02207220	48	2009-09-21 16:00:00	EDT	Yes	PDA	USGS	22.80	18400	 4.0	0.00	8.9	POOR				UNSP	1		UNSP			18400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207220	49	2009-11-19 09:41:00	EST	Yes	jsf/jkj	USGS	3.22	359	 4.0	-0.27	-3.0	FAIR	0.00	0.20	CLER	UNSP	1		BRDS	QADCP	VADCP	359	94.3	578	0.62	FIRM	SAND	UNEV	UNSP	EVEN	UNSP	DNST	60
USGS	02207220	50	2009-11-19 10:04:00	EST	Yes	jsf/jkj	USGS	3.22	370	 4.0	-0.27	0.0	FAIR	0.00	0.12	CLER	UNSP	1		BRDS	QADCP	VADCP	370	99.7	584	0.63	FIRM	SAND	UNEV	UNSP	EVEN	UNSP	DNST	60
USGS	02207220	51	2010-01-21 16:40:30	EST	Yes	jsf	USGS	5.26	917	 4.0	0.09	0.7	POOR	0.08	0.52	CLER	UNSP	1		BRDS	QADCP	VADCP	917	106	827	1.11	FIRM	SAND	UNEV	UNSP	UNSP	UNSP	DNST	80
