#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:38:05 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02207300 YELLOW RIVER AT MILSTEAD, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02207300	1	1974-11-21 11:10:00	EST	Yes	AJB	USGS	3.12	500.0		0.00		GOOD	0.00	1.00		MEAS	1	Unspecified	CRAN	QUNSP		500.0	88.0	573	0.870	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	2	1975-02-20 11:05:00	EST	Yes	GAB	USGS	4.20	1610		0.00		GOOD	-0.03	0.80		MEAS	1	Unspecified	CRAN	QUNSP		1610	97.0	680	2.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	3	1975-03-04 09:55:00	EDT	Yes	GAB	USGS	2.93	432.0		0.00		GOOD	0.00	0.70		MEAS	1	Unspecified	CRAN	QUNSP		432.0	91.0	559	0.770	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	4	1975-08-28 12:25:00	EDT	Yes	GAB	USGS	3.70	950.0		0.00		GOOD	-0.01	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		950.0	94.0	716	1.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	5	1975-11-20 16:05:00	EST	Yes	GAB	USGS	2.62	240.0		0.00		GOOD	0.00	0.60		MEAS	1	Unspecified	CRAN	QUNSP		240.0	83.0	163	1.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	6	1976-03-02 17:10:00	EST	Yes	GAB	USGS	2.73	262.0		0.00		GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		262.0	97.0	667	0.390	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	7	1976-06-24 14:00:00	EDT	Yes	DDB	USGS	2.75	226.0		0.00		FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	CRAN	QUNSP		226.0	98.0	787	0.290	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	8	1977-06-17 10:40:00	EDT	Yes	DDB/GAB	USGS	2.61	166.0		0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		166.0	74.0	132	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	9	1977-08-12 10:55:00	EDT	Yes	BJQ/DDB	USGS	2.29	83.0		0.00		GOOD	-0.01	0.30	CLER	MEAS	1	Unspecified	WADE	QUNSP		83.0	55.0	75.1	1.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	10	1977-12-22 13:30:00	EST	Yes	DDB/GAB	USGS	2.73	225.0		0.00		GOOD	0.00	0.60		MEAS	1	Unspecified	CRAN	QUNSP		225.0	82.0	178	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	11	1978-05-29 09:00:00	EDT	Yes	GAB/MEP	USGS	2.88	348.0		0.00		GOOD	0.05	0.60	CLER	MEAS	1	Unspecified	CRAN	QUNSP		348.0	86.0	238	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	12	1978-09-29 11:05:00	EDT	Yes	GAB	USGS	2.34	58.3		0.00		GOOD	0.00	0.30		MEAS	1	Unspecified	WADE	QUNSP		58.3	36.0	54.7	1.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	13	1979-08-02 12:15:00	EDT	Yes	CLH	USGS	2.40	116.0		0.00		GOOD	0.02	1.00		MEAS	1	Unspecified	WADE	QUNSP		116.0	63.0	80.0	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	14	1980-01-02 13:35:00	EST	Yes	CLH	USGS	2.92	292.0		0.00		GOOD	0.00	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		292.0	82.0	209	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02207300	15	1980-05-30 13:35:00	EDT	Yes	GAB	USGS	4.17	457.0		0.00		GOOD	-0.01	0.70	CLER	MEAS	1	Unspecified	CRAN	QUNSP		457.0	91.0	312	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
