#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:38:08 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02208000 YELLOW RIVER ROCKY PLAINS RD NR ROCKY PLAINS, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02208000	1	2009-12-03 10:19:30	EST	Yes	CJH_JDE	USGS	13.99	3700	 1.0	0.00	0.0	GOOD	0.03	0.18	CLER	MEAS	1		BRDS	QADCP	VADCP	3700	140	1940	1.91	FIRM	SAND	UNEV	STDY	EVEN	UNSP	ATGA	0.00
USGS	02208000	2	2010-01-26 10:57:30	EST	Yes	JDE/JLS	USGS	18.08	7430	 1.0	0.00	0.0	GOOD	-0.02	0.32	CLER	UNSP	1		MBOT	QADCP	VADCP	7430	141	2220	3.04	SOFT	SILT	EVEN	STDY	EVEN	UNSP	DNST	30
USGS	02208000	3	2010-02-04 11:55:00	EST	Yes	JDE	USGS	7.53	991	 1.0	-0.20	-3.8	GOOD	0.00	0.13	LGDB	UNSP	1		MBOT	QADCP	VADCP	991	119	910	1.09	FIRM	SILT	EVEN	STDY	EVEN	UNSP	DNST	50
USGS	02208000	4	2010-03-24 11:32:00	EDT	Yes	JDE/RAT	USGS	6.34	712	 1.0	-0.22	-0.1	FAIR	-0.02	0.20	CLER	MEAS	1		MBOT	QADCP	VADCP	712	120	460	1.57	FIRM	SILT	EVEN	STDY	EVEN	UNSP	DNST	30
USGS	02208000	5	2010-05-04 11:36:30	EDT	Yes	JDE/ERF	USGS	12.40	3020	 1.0	-0.01	2.4	GOOD	0.00	0.22	LGDB	MEAS	1		BRDS	QADCP	VADCP	3020	114	1150	2.64	SOFT	SILT	UNEV	STDY	UNEV	UNSP	DNST	25
USGS	02208000	6	2010-06-02 11:51:00	EDT	Yes	JDE/JLS	USGS	8.37	1420	 1.0	0.00	3.6	GOOD	-0.02	0.10	CLER	MEAS	1		BRDS	QADCP	VADCP	1420	126	661	2.14	SOFT	SAND	UNEV	STDY	EVEN	UNSP	DNST	25
USGS	02208000	7	2010-09-22 10:54:30	EDT	Yes	JDE	USGS	3.06	88.2	 1.0	0.00	0.0	GOOD	0.00	1.15	CLER	MEAS	1		WADE	QSCMM	VADV	88.2	104	84.2	1.05	SOFT	SAND	EVEN	STDY	EVEN	UNSP	DNST	40
USGS	02208000	8	2010-10-12 10:37:00	EDT	Yes	JDE	USGS	3.18	100	 1.0	0.00	-2.9	GOOD	0.01	1.03	CLER	MEAS	1		WADE	QSCMM	VADV	100	104	91.2	1.10	FIRM	SAND	EVEN	STDY	EVEN	UNFM	DNST	50.00
USGS	02208000	9	2011-02-24 10:08:00	EST	Yes	JDE	USGS	4.49	284	 1.0	-0.17	-0.4	GOOD	0.00	1.17	CLER	MEAS	1		WADE	QSCMM	VADV	284	113	203	1.40	SOFT	SAND	EVEN	STDY	EVEN	UNSP	DNST	50.00
USGS	02208000	10	2011-04-26 11:15:00	EDT	Yes	JDE	USGS	5.03	370	 1.0	-0.28	0.0	GOOD	0.04	1.17	CLER	MEAS	1		WADE	QSCMM	VADV	370	116	250	1.48	SOFT	SAND	EVEN	STDY	EVEN	UNFM	DNST	40.00
USGS	02208000	11	2011-06-06 11:07:30	EDT	Yes	JDE	USGS	3.71	137	 1.0	-0.28	0.0	GOOD	0.00	0.90		MEAS	1	Yellow River near Rocky Plains, GA	WADE	QSCMM	VADV	137	112	129	1.06	SOFT	SAND	UNEV	STDY	EVEN	UNFM	DNST	40.00
USGS	02208000	12	2011-08-08 13:59:30	EDT	Yes	JDE	USGS	3.62	124	 1.0	-0.28	0.0	FAIR	-0.02	1.30	CLER	MEAS	1	Yellow River near Rocky Plains, GA	WADE	QSCMM	VADV	124	97.5	111	1.12	SOFT	SAND	EVEN	STDY	EVEN	UNFM	UPST	25.00
USGS	02208000	13	2011-10-03 10:28:00	EDT	Yes	JDE	USGS	3.11	60.8	 1.0	-0.28	-1.9	FAIR	0.02	0.80	CLER	MEAS	1	Yellow River near Rocky Plains, GA	WADE	QSCMM	VADV	60.8	62.0	66.4	0.92	SOFT	SAND	EVEN	STDY	EVEN	UNFM	UPST	30.00
USGS	02208000	14	2011-10-03 12:43:00	EDT	Yes	JDE	USGS	3.12	61.5	 1.0	-0.28	-2.5	GOOD	0.10	1.10		MEAS	1	Yellow River near Rocky Plains, GA	WADE	QSCMM	VPAA	61.5	62.0	66.9	0.92	SOFT	SAND	EVEN	STDY	EVEN	UNFM	UPST	30.00
USGS	02208000	15	2012-02-21 10:28:00	EST	Yes	JDE	USGS	4.92	353	 1.0	-0.28	1.7	FAIR	-0.07	2.20	CLER	MEAS	1	Yellow River	WADE	QSCMM	VADV	353	112	244	1.45	SOFT	SAND	UNEV	UNSP	UNEV	UNSP	UPST	30.00
USGS	02208000	16	2012-04-09 10:46:30	EDT	Yes	JDE	USGS	3.89	156	 1.0	-0.28	-4.9	FAIR	0.00	1.35	CLER	MEAS	1	Main	WADE	QSCMM	VPAA	156	112	139	1.12	SOFT	SAND	UNEV	UNSP	UNEV	UNSP	DNST	50.00
USGS	02208000	17	2012-06-18 11:07:30	EDT	Yes	JDE/RCF	USGS	3.44	100	 1.0	-0.28	-1.0	GOOD	0.00	1.30	CLER	MEAS	1	Main	WADE	QSCMM	VADV	100	94.5	94.8	1.05	SOFT	SAND	UNEV	UNSP	UNSP	UNSP	DNST	20.00
USGS	02208000	18	2012-08-21 09:16:00	EDT	Yes	JDE	USGS	3.34	86.6	 1.0	-0.28	-1.8	GOOD	0.02	2.10	LGDB	MEAS	1	Main	WADE	QSCMM	VADV	86.6	60.0	85.6	1.01	SOFT	SAND	UNEV	UNSP	UNEV	UNSP	UPST	100.00
USGS	02208000	19	2012-10-09 13:45:30	EDT	Yes	PDA	USGS	4.04	188	 1.0	-0.28	0.5	FAIR				MEAS	1	main	WADE	QSCMM	VADV	188	86.0	168	1.12	SOFT	SAND	EVEN	STDY	UNSP	UNKN	UPST	80.00
USGS	02208000	20	2012-12-05 13:34:00	EST	Yes	PDA	USGS	3.52	110	 1.0	-0.28	-0.9	FAIR			CLER	MEAS	1	main	WADE	QSCMM	VADV	110	83.0	113	0.97	SOFT	SAND	EVEN	STDY	EVEN	UNKN	UPST	100.00
USGS	02208000	21	2013-02-20 10:58:00	EST	Yes	PDA	USGS	5.48	462	 1.0	-0.28	-1.1	GOOD			CLER	MEAS	1	main	WADE	QSCMM	VADV	462	112	288	1.60	SOFT	SILT	EVEN	STDY	EVEN	STND	DNST	30.00
USGS	02208000	22	2013-07-09 12:28:58	EDT	Yes	PDA/BNC	USGS	6.92	898	 1.0	-0.14	3.1	FAIR			CLER	MEAS	1	main	BRDS	QADCP	VADCP	898	118	479	1.88	SOFT	SILT	UNEV	STDY	UNEV	UNKN	ATGA	0.00
USGS	02208000	23	2013-08-13 12:57:46	EDT	Yes	PDA/BNC	USGS	4.77	287	 1.0	-0.43	-0.7	GOOD			UNSP	MEAS	1	main	BRDS	QADCP	VADCP	287	118	211	1.36	SOFT	SAND	EVEN	STDY	EVEN	STND	ATGA	0.00
USGS	02208000	25	2013-10-17 14:10:00	EDT	Yes	PDA/BNC	USGS	4.06	182	 1.0	-0.39	5.2	FAIR			CLER	MEAS	1	main	WADE	QSCMM	VPAA	182	92.0	153	1.20	SOFT	SAND	EVEN	STDY	EVEN	STND	UPST	80.00
USGS	02208000	24	2013-10-17 14:20:00	EDT	Yes	PDA/BNC	USGS	4.06	167	 1.0	-0.39	-3.5	GOOD			CLER	MEAS	1	Main	WADE	QSCMM	VADV	167	90.0	149	1.12	SOFT	SAND	EVEN	STDY	EVEN	STND	UPST	80.00
USGS	02208000	26	2014-01-23 13:28:30	EST	Yes	RCF	USGS	5.36	428	 1.0	-0.33	-0.2	FAIR	0.02	0.30	CLER	MEAS	1	Main	BRDS	QADCP	VADCP	428	116	410	1.04	SOFT	SAND	UNEV	STDY	UNEV	STND	DNST	20.00
USGS	02208000	27	2014-03-18 14:30:00	EDT	Yes	NCH/RCF	USGS	8.97	1640	 1.0	0.09	1.9	GOOD	0.08	2.00	CLER	MEAS	1	Main	BRUS	QSCMM	VPAA	1640	117	698	2.35	FIRM	SAND	EVEN	STDY	UNSP	UNSP	UPST	20.00
USGS	02208000	28	2014-05-08 14:31:00	EDT	Yes	PDA/JDE	USGS	4.72	294	 1.0	-0.35	0.0	GOOD	0.00	0.70	CLER	MEAS	1	Main	WADE	QSCMM	VADV	294	120	232	1.27	SOFT	SAND	UNEV	UNSP	UNSP	UNSP	DNST	200.00
USGS	02208000	29	2014-07-30 10:33:00	EDT	Yes	PDA	USGS	3.94	158	 1.0	-0.35	-1.9	FAIR			CLER	MEAS	1	main	WADE	QSCMM	VADV	158	106	127	1.25	SOFT	SAND	UNEV	STDY	EVEN	UNFM	DNST	600.00
USGS	02208000	30	2014-10-07 12:51:30	EDT	Yes	PDA	USGS	3.75	138	 1.0	-0.31	-0.7	GOOD			CLER	MEAS	1	main	WADE	QSCMM	VADV	138	105	138	1.00	SOFT	SAND	EVEN	STDY	EVEN	STND	UPST	40.00
USGS	02208000	31	2014-12-08 15:28:30	EST	Yes	PDA	USGS	4.85	326	 1.0	-0.31	-0.3	GOOD			CLER	MEAS	1	main	WADE	QSCMM	VADV	326	107	248	1.31	SOFT	SAND	EVEN	STDY	EVEN	STND	UPST	40.00
USGS	02208000	32	2015-04-22 11:49:35	EDT	Yes	PDA	USGS	7.79	1130	 1.0	-0.16	0.0	GOOD	-0.02	0.25	CLER	MEAS	1	main	BRDS	QADCP	VADCP	1130	117	609	1.85	SOFT	SAND	EVEN	STDY	UNEV	STND	DNST	30.00
USGS	02208000	33	2015-07-09 11:47:30	EDT	Yes	PDA/OAA	USGS	4.61	259	 1.0	-0.44	0.8	GOOD	-0.02	1.00	CLER	MEAS	1	main	WADE	QSCMM	VPAA	259	91.0	177	1.47	SOFT	SAND	UNEV	STDY	EVEN	STND	DNST	200.00
USGS	02208000	34	2015-07-09 12:27:30	EDT	Yes	PDA/OAA	USGS	4.60	252	 1.0	-0.44	-1.2	FAIR			CLER	MEAS	1	main	WADE	QSCMM	VADV	252	91.0	188	1.34	SOFT	SAND	UNEV	STDY	EVEN	STND	DNST	300.00
USGS	02208000	35	2015-08-13 10:30:00	EDT	Yes	PDA	USGS	4.26	193	 1.0	-0.44	-2.0	GOOD	-0.04	1.45	CLER	MEAS	1	main	WADE	QSCMM	VADV	193	86.0	155	1.24	SOFT	SAND	EVEN	STDY	EVEN	STND	DNST	300.00
USGS	02208000	36	2015-10-20 13:37:59	EDT	Yes	PDA	USGS	4.41	216	 1.0	-0.47	-0.5	GOOD			CLER	MEAS	1	main	WADE	QSCMM	VADV	216	87.5	165	1.30	SOFT	SAND	UNSP	STDY	UNSP	UNFM	DNST	250.00
USGS	02208000	37	2015-12-07 11:28:00	EST	Yes	PDA	USGS	5.20	334	 1.0	-0.63	0.3	GOOD	0.00	1.00	CLER	MEAS	1	main	WADE	QSCMM	VADV	334	121	241	1.39	SOFT	SAND	EVEN	STDY	EVEN	UNFM	DNST	500.00
USGS	02208000	38	2016-03-30 11:58:00	EDT	Yes	PDA	USGS	5.48	511	 1.0	-0.09	0.2	GOOD	0.00	1.25	CLER	MEAS	1	main	BRDS	QSCMM	VPAA	511	117	553	0.92	SOFT	SAND	EVEN	STDY	UNEV	NSTD	DNST	0.00
USGS	02208000	39	2016-06-20 11:38:30	EDT	Yes	PDA	USGS	3.76	165	 1.0	-0.14	0.0	FAIR	-0.01	1.05	CLER	MEAS	1	main	WADE	QSCMM	VADV	165	116	284	0.58	SOFT	SAND	EVEN	STDY	EVEN	STND	DNST	80.00
USGS	02208000	40	2016-08-16 09:46:00	EDT	Yes	PDA	USGS	3.38	105	 1.1	-0.17	-1.9	FAIR			CLER	MEAS	1	main	WADE	QSCMM	VADV	105	83.2	189	0.56	SOFT	SAND	EVEN	STDY	EVEN	STND	DNST	400.00
USGS	02208000	41	2016-10-24 11:08:00	EDT	Yes	PDA	USGS	2.76	45.3	 1.1	-0.10	0.9	GOOD			CLER	MEAS	1	main	WADE	QSCMM	VADV	45.3	55.5	112	0.41	SOFT	SAND	EVEN	STDY	EVEN	STND	UNSP	
USGS	02208000	42	2016-12-15 14:34:30	EST	Yes	PDA	USGS	3.75	161	 1.1	-0.16	0.0	FAIR			CLER	MEAS	1	main	WADE	QSCMM	VADV	161	86.0	209	0.77	FIRM	BLDR	EVEN	UNSP	EVEN	UNSP	UPST	80.00
USGS	02208000	43	2017-03-27 11:41:30	EDT	Yes	SJJ/RLM	USGS	4.33	266	 1.1	-0.14	1.9	FAIR	0.01	2.50	CLER	MEAS	1	main	WADE	QSCMM	VADV	266	119	198	1.34	FIRM	SAND	UNEV	STDY	UNEV	NSTD	DNST	175.00
USGS	02208000	44	2017-03-27 13:05:30	EDT	Yes	SJJ/RLM	USGS	4.33	255	 1.1	-0.14	-2.3	FAIR	0.01	1.00	CLER	MEAS	1	main	WADE	QSCMM	VADV	255	119	199	1.28	FIRM	SAND	UNEV	STDY	UNEV	STND	DNST	175.00
