#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:38:09 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06186500 Yellowstone River at Yellowstone Lk Outlet YNP
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06186500	100	1913-06-20		Yes	nn	USGS		6890				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		6890				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06186500	102	1913-09-12		Yes	nn	USGS		2140				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2140				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06186500	103	1914-09-16		Yes	nn	USGS		1030				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1030				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06186500	319	1970-07-10		Yes	EOL	USGS	6.92	5860				Good	0.03	1.00		MEAS	1	Imported Channel 1	UNSP	other		5860				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06186500	327	1971-06-17		Yes	WJP	USGS	6.46	5130				Good	0.00	0.90	Unspecifed	MEAS	1	Imported Channel 1	UNSP	other		5130				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06186500	328	1971-06-23		Yes	WJP	USGS	7.38	7050				Good	0.00	1.80	Unspecifed	MEAS	1	Imported Channel 1	UNSP	other		7050				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06186500	336	1972-06-28		Yes	WJP	USGS	7.14	6590				Good	0.00	1.30		MEAS	1	Imported Channel 1	UNSP	other		6590				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06186500	352	1974-06-16		Yes	WJP	USGS	6.58	5150				Good	0.00	1.30		MEAS	1	Imported Channel 1	UNSP	other		5150				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06186500	353	1974-06-24		Yes	WJP	USGS	7.95	8450				Good	0.00	1.30	Unspecifed	MEAS	1	Imported Channel 1	UNSP	other		8450				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
