#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:38:32 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03077500 Youghiogheny River at Youghiogheny River Dam, PA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03077500	552	1919-07-31		Yes	RWS	USGS	4.26	631				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	631	143	400	1.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	48	1940-02-21		Yes	RWL	USGS	4.34	898				Good	-0.14	1.20		MEAS	1	Imported Channel 1	WADE	unspe	unkno	898	218	477	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	49	1940-02-28		Yes	RCC	USGS	3.77	483				Good	0.00	0.90	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	483	180	334	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	51	1940-03-04		Yes	RL	USGS	6.98	4100				Fair	0.08	1.20		MEAS	1	Imported Channel 1	UNSP	other		4100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	50	1940-03-04		Yes	RL	USGS	6.61	3590				Fair	0.11	1.50		MEAS	1	Imported Channel 1	UNSP	other		3590				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	52	1940-03-19		Yes	L/S	USGS	7.72	4280				Unspecified	-0.07	1.20		MEAS	1	Imported Channel 1	UNSP	other		4280				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	53	1940-03-29		Yes	RCC	USGS	4.33	1010				Good	0.00	1.10		MEAS	1	Imported Channel 1	WADE	unspe	unkno	1010	258	516	1.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	18E	1940-03-31		Yes	L/H	USGS		5050				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		5050				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	19E	1940-04-01		Yes	L/H	USGS		3550				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3550				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	54	1940-04-04		Yes	HE	USGS	7.36	3950				Good	-0.09	1.40		MEAS	1	Imported Channel 1	UNSP	other		3950				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	55	1940-04-13		Yes	RL	USGS	4.57	1270				Good	-0.02	1.30		MEAS	1	Imported Channel 1	UNSP	other		1270				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	57	1940-04-20		Yes	RCC	USGS	9.88	7400				Good	-0.19	1.70		MEAS	1	Imported Channel 1	UNSP	other		7400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	56	1940-04-20		Yes	RCC	USGS	10.59	8510				Good	-0.08	1.70		MEAS	1	Imported Channel 1	UNSP	other		8510				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	58	1940-04-21		Yes	RCC	USGS	8.00	5320				Good	-0.13	1.60		MEAS	1	Imported Channel 1	UNSP	other		5320				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	59	1940-04-22		Yes	RCC	USGS	6.32	3220				Good	-0.07	1.50		MEAS	1	Imported Channel 1	UNSP	other		3220				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	60	1940-05-25		Yes	RCC	USGS	4.56	1280				Good	0.07	1.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	1280	255	587	2.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	61	1940-05-27		Yes	T/C	USGS	5.60	2580				Good	-0.06	1.80		MEAS	1	Imported Channel 1	UNSP	other		2580				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	62	1940-05-31		Yes	RL	USGS	8.02	5290				Good	0.28	1.30		MEAS	1	Imported Channel 1	UNSP	other		5290				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	63	1940-06-01		Yes	T/C	USGS	6.12	3010				Good	-0.07	1.70		MEAS	1	Imported Channel 1	UNSP	other		3010				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	64	1940-07-03		Yes	AST	USGS	5.47	2070				Good	-0.08	1.80		MEAS	1	Imported Channel 1	UNSP	other		2070				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	65	1940-08-05		Yes	AST/HE	USGS	3.12	74.0				Good	0.00	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	74.0	167	210	0.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	66	1940-09-20		Yes	RL	USGS	3.54	271				Good	0.08	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	271	227	252	1.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	67	1940-10-16		Yes	RL	USGS	3.86	502				Good	0.12	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	502	247	344	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	68	1940-11-19		Yes	AST	USGS	3.96	573				Good	-0.05	1.20		MEAS	1	Imported Channel 1	WADE	unspe	unkno	573	215	399	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	69	1940-11-29		Yes	RL	USGS	4.68	1270				Good	-0.08	1.20		MEAS	1	Imported Channel 1	WADE	unspe	unkno	1270	295	578	2.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	70	1940-12-06		Yes	AST	USGS	4.06	699				Good	-0.02	1.20	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	699	244	435	1.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	71	1941-01-09		Yes	RCC	USGS	4.12	676				Good	-0.10	1.10	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	676	191	396	1.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	72	1941-02-07		Yes	KLK	USGS	4.17	761				Fair	-0.06	1.30	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	761	248	433	1.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	73	1941-02-21		Yes	KLK	USGS	3.91	521				Good	-0.06	1.10	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	521	250	343	1.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	74	1941-03-20		Yes	L/K	USGS	3.90	610				Good	0.00	0.90	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	610	238	379	1.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	75	1941-04-04		Yes	KLK	USGS	4.29	980				Good	-0.01	1.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	980	284	485	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	76	1941-04-05		Yes	KLK	USGS	8.68	4970				Good	-0.11	1.40	Clear	MEAS	1	Imported Channel 1	UNSP	other		4970				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	77	1941-04-06		Yes	KLK	USGS	7.07	3780				Good	-0.17	1.70	Clear	MEAS	1	Imported Channel 1	UNSP	other		3780				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	78	1941-05-12		Yes	KLK	USGS	3.38	182				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	182	222	208	0.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	20E	1941-05-19		Yes	US/ED	USGS	4.26	920				Unspecified	-0.02	1.20		MEAS	1	Imported Channel 1	WADE	unspe	unkno	920	303	500	1.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	21E	1941-06-05		Yes	US/ED	USGS	14.50	9550				Unspecified	-1.01	2.30		MEAS	1	Imported Channel 1	UNSP	other		9550				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	79	1941-06-05		Yes	RCC	USGS	10.96	7300				Good	-0.44	1.50		MEAS	1	Imported Channel 1	UNSP	other		7300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	22E	1941-06-06		Yes	US/ED	USGS	7.39	3820				Unspecified	-0.21	1.70		MEAS	1	Imported Channel 1	UNSP	other		3820				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	80	1941-07-16		Yes	RWL	USGS	3.99	590				Good	-0.01	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	590	225	352	1.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	81	1941-08-07		Yes	C/T	USGS	3.48	221				Good	-0.04	0.90		MEAS	1	Imported Channel 1	WADE	unspe	unkno	221	173	251	0.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	82	1941-09-10		Yes	CJR	USGS	4.01	595				Good	-0.08	1.10		MEAS	1	Imported Channel 1	UNSP	other		595				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	83	1941-10-21		Yes	RCC	USGS	4.10	703				Good	-0.08	1.20		MEAS	1	Imported Channel 1	UNSP	other		703				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	84	1941-11-27		Yes	REF	USGS	3.81	438				Good	-0.02	0.90	Clear	MEAS	1	Imported Channel 1	UNSP	other		438				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	85	1941-12-31		Yes	RCC	USGS	3.86	509				Good	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		509				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	86	1942-01-28		Yes	AST	USGS	3.72	422				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	UNSP	other		422				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	87	1942-01-29		Yes	AST	USGS	3.71	411				Good	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		411				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	88	1942-02-26		Yes	EAB	USGS	3.74	434				Fair	-0.01	0.80	IceShore	MEAS	1	Imported Channel 1	UNSP	other		434				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	89	1942-03-10		Yes	RCC	USGS	5.98	2800				Good	-0.08	1.30	Clear	MEAS	1	Imported Channel 1	UNSP	other		2800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	90	1942-03-25		Yes	CR	USGS	4.00	671				Good	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		671				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	91	1942-04-30		Yes	EAB	USGS	3.67	383				Good	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		383				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	92	1942-05-27		Yes	EAB/LW	USGS	4.16	810				Good	0.00	1.20	DebrisModerate	MEAS	1	Imported Channel 1	UNSP	other		810				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	93	1942-07-02		Yes	RCC	USGS	3.48	231				Good	-0.01	0.80	DebrisLight	MEAS	1	Imported Channel 1	UNSP	other		231				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	94	1942-08-21		Yes	EAB	USGS	3.93	511				Good	0.02	0.90	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	511	216	351	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	95	1942-10-08		Yes	FNH/JH	USGS	3.66	334				Good	-0.01	0.90		MEAS	1	Imported Channel 1	WADE	unspe	unkno	334	232	301	1.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	96	1942-11-19		Yes	LWW	USGS	3.90	534				Good	-0.02	1.90		MEAS	1	Imported Channel 1	WADE	unspe	unkno	534	346	380	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	97	1942-12-17		Yes	CJR	USGS	4.52	1180				Good	-0.01	1.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	1180	245	556	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	98	1943-01-27		Yes	AST	USGS	4.47	1150				Good	-0.01	1.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1150	252	545	2.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	99	1943-03-05		Yes	RKM	USGS	4.25	1000				Excellent	-0.03	1.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		1000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	100	1943-04-14		Yes	LWW	USGS	5.37	2110				Good	0.00	1.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		2110				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03077500	101	1943-05-12		Yes	EAB	USGS	5.10	1260				Good	-0.02	1.30	DebrisModerate	MEAS	1	Imported Channel 1	UNSP	other		1260				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
