#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:38:53 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11413000 N YUBA R BL GOODYEARS BAR CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11413000	519	1987-09-09 12:50:00	PDT	Yes	DEU	USGS	1.43	94.6	20.0	0.00	-2.00	GOOD	0.00	5.00	LGDB	MEAS	1	Unspecified	WADE	QUNSP		94.6	41.0	49.6	1.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413000	520	1987-11-09 12:03:00	PST	Yes	WJH/MW	USGS	1.75	124.0	20.0	-0.070		GOOD	0.01	0.75	CLER	MEAS	1	Unspecified	UNSP			124.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413000	521	1987-11-09 13:42:00	PST	Yes	WJH/MHW	USGS	1.76	129.0	20.0	-0.070		GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		129.0	84.0	109	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413000	522	1987-12-11 13:05:00	PST	Yes	TAH	USGS	5.25	1200	21.0	0.00	2.00	GOOD	-0.09	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1200	132	447	2.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413000	523	1988-01-12 12:10:00	PST	Yes	TAH	USGS	3.77	533.0	21.0	0.00	0.00	FAIR	-0.03	1.10	CLER	MEAS	1	Unspecified	WADE	QUNSP		533.0	134	250	2.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413000	524	1988-02-09 12:55:00	PST	Yes	TAH	USGS	2.82	297.0	21.0	0.00	2.00	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		297.0	131	211	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413000	525	1988-05-11 10:38:00	PDT	Yes	TAH	USGS	3.63	478.0	21.0	0.00	0.00	GOOD	-0.03	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		478.0	121	240	1.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413000	526	1988-07-14 11:30:00	PDT	Yes	TAH	USGS	1.80	130.0	21.0	0.00	-2.00	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		130.0	37.3	79.9	1.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413000	527	1988-08-10 13:45:00	PDT	Yes	WJH	USGS	1.52	104.0	21.0	0.00	5.00	GOOD	0.01	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		104.0	38.0	70.5	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
