#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:38:57 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11413517 N YUBA R LOW FLOW REL BL NEW BULLARDS BAR DAM CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11413517	268	1999-10-07 15:06:00	PDT	Yes	kes	USGS	6.94	7.14	 5.0	0.00	5.00	FAIR	0.00	0.50	ALGA	MEAS	1	Unspecified	WADE	QUNSP		7.14	5.00	4.88	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413517	269	2000-06-14 14:44:00	PDT	Yes	kes	USGS	7.01	8.03	 5.0	0.00	-2.00	GOOD	0.00	0.40	ALGA	MEAS	1	Unspecified	WADE	QUNSP		8.03	5.00	4.89	1.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413517	270	2000-08-28 16:13:00	PDT	Yes	kes	USGS	6.97	7.20	 5.0	0.00	-2.00	GOOD	0.00	0.30	ALGA	MEAS	1	Unspecified	WADE	QUNSP		7.20	5.00	4.78	1.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413517	271	2001-05-08 13:23:00	PDT	Yes	dms	USGS	6.92	6.48	 5.0	0.00	1.00	GOOD	0.00	0.60	ALGA	MEAS	1	Unspecified	WADE	QUNSP		6.48	5.00	4.65	1.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413517	272	2001-07-11 15:40:00	PDT	Yes	dms	USGS	6.93	6.54	 5.0	0.00	-1.00	GOOD	0.00	0.60	ALGA	MEAS	1	Unspecified	WADE	QUNSP		6.54	5.00	4.70	1.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413517	273	2001-10-02 15:50:00	PDT	Yes	dms	USGS	6.93	6.82	 5.0	0.00	3.00	FAIR	0.00	0.70		MEAS	1	Unspecified	WADE	QUNSP		6.82	5.00	4.66	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413517	274	2002-03-13 15:20:00	PST	Yes	dms	USGS	6.91	6.35	 5.0	0.00	2.00	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		6.35	5.00	4.58	1.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413517	275	2002-08-20 15:00:00	PDT	Yes	dms	USGS	6.98	7.76	 5.0	0.00	2.00	FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		7.76	5.00	4.96	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413517	276	2002-10-10 10:35:00	PDT	Yes	dms	USGS	6.92	6.49	 5.0	0.00	2.00	FAIR	0.00	0.60	ALGA	MEAS	1	Unspecified	WADE	QUNSP		6.49	5.00	4.60	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11413517	277	2003-06-20 13:10:00	PDT	Yes	dms	USGS	6.99	7.74	 5.0	0.00	-1.00	GOOD	0.00	0.60	ALGA	MEAS	1	Unspecified	WADE	QUNSP		7.74	5.00	4.97	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
