#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:39:04 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11417500 S YUBA R A JONES BAR NR GRASS VALLEY CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11417500	12	1960-02-08		Yes	GL	USGS	14.68	11200		0.00		UNSP				UNSP	1	Unspecified	CWAY	QUNSP		11200			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	42	1960-02-09		Yes	GL	USGS	10.60	3780		0.00		UNSP				MEAS	1	Unspecified	CWAY	QUNSP		3780			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	13	1960-02-09		Yes	GL	USGS	8.74	2000		0.00		UNSP				UNSP	1	Unspecified	CWAY	QUNSP		2000			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	41	1962-02-09		Yes	GL	USGS	10.36	3600		0.00		UNSP				UNSP	1	Unspecified	CWAY	QUNSP		3600			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	43	1962-02-14		Yes	GR	USGS	8.98	2240		0.00		UNSP				MEAS	1	Unspecified	CWAY	QUNSP		2240			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	52	1962-10-14		Yes	GL	USGS	11.61	5320		0.00		UNSP				MEAS	1	Unspecified	CWAY	QUNSP		5320			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	56	1963-02-01		Yes	GR	USGS	16.35	17800		0.00		UNSP				MEAS	1	Unspecified	CWAY	QUNSP		17800			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	57	1963-02-03		Yes	GR	USGS	9.10	2690		0.00		UNSP				MEAS	1	Unspecified	CWAY	QUNSP		2690			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	60	1963-04-08		Yes	GR	USGS	8.71	2140		0.00		UNSP				MEAS	1	Unspecified	CWAY	QUNSP		2140			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	61	1963-05-06		Yes	GR	USGS	10.40	3800		0.00		UNSP				MEAS	1	Unspecified	CWAY	QUNSP		3800			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	78	1964-12-22		Yes	GR	USGS	13.78	10800		0.00		UNSP				MEAS	1	Unspecified	CWAY	QUNSP		10800			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	79	1964-12-22		Yes	GR	USGS	15.98	15200		0.00		UNSP				MEAS	1	Unspecified	CWAY	QUNSP		15200			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	79A	1964-12-22		Yes	IND/SA	USGS	25.00	53600		0.00		UNSP				UNSP	1	Unspecified	OTHR	QIDIR		53600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	80	1964-12-24		Yes	GR	USGS	17.22	20800		0.00		UNSP				MEAS	1	Unspecified	CWAY	QUNSP		20800			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	81	1964-12-28		Yes	WFS	USGS	11.30	5090		0.00		UNSP				MEAS	1	Unspecified	CWAY	QUNSP		5090			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	82	1965-01-08		Yes	WFS	USGS	9.65	3070		0.00		UNSP				MEAS	1	Unspecified	CWAY	QUNSP		3070			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11417500	87	1965-05-17		Yes	S/M	USGS	9.34	2610		0.00		UNSP				MEAS	1	Unspecified	CWAY	QUNSP		2610			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
